graph_name,dataset,role,source,target,weight,edge_overlap
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,7,28,0.9509163498878479,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,13,114,0.9383753538131714,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,16,138,0.9532668590545654,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,32,96,0.9259207844734192,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,40,70,0.9583290219306946,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,53,167,0.9592574238777161,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,58,114,0.9934380650520325,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,67,118,0.8599469661712646,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,86,172,0.9414532780647278,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,95,125,0.9280540347099304,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,101,133,0.9423981308937073,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,101,134,0.9123196601867676,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,131,146,0.9873158931732178,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,131,158,0.9550265073776245,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,140,199,0.9995439648628235,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,166,196,0.9995322823524475,0.0
metr-la-by-disp_fil-with-alpah_filter0_1,metr-la,backbone,171,173,0.9841185808181763,0.0
