graph_name,dataset,role,node,community_id,community_size
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,33,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,191,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,4,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,17,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,193,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,188,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,195,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,15,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,97,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,192,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,80,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,161,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,198,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,128,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,157,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,136,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,5,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,162,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,3,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,91,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,154,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,93,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,144,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,6,0,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,55,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,44,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,11,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,92,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,153,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,2,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,183,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,78,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,179,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,178,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,85,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,132,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,27,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,106,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,152,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,46,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,108,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,201,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,45,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,105,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,79,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,203,1,22
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,150,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,197,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,87,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,77,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,9,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,148,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,185,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,130,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,82,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,41,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,43,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,59,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,204,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,151,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,76,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,84,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,8,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,100,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,14,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,88,2,20
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,111,3,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,37,3,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,3,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,115,3,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,169,3,17
