graph_name,dataset,role,node,community_id,community_size
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,53,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,201,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,194,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,153,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,177,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,13,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,110,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,132,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,85,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,171,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,178,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,152,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,168,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,7,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,62,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,24,0,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,185,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,8,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,59,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,14,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,88,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,172,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,146,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,181,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,84,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,180,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,77,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,86,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,204,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,151,1,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,160,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,101,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,138,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,166,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,191,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,155,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,12,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,33,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,20,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,68,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,96,2,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,186,3,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,182,3,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,158,3,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,104,3,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,81,3,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,89,3,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,9,3,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,82,3,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,34,3,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,3,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,63,4,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,113,4,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,141,4,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,71,4,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,72,4,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,75,4,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,69,4,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,60,4,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,47,4,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,79,5,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,78,5,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,109,5,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,5,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,147,5,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,49,5,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,51,5,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,2,5,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,114,6,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,140,6,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,116,6,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,190,6,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,58,6,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,117,6,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,143,6,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,48,7,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,91,7,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,5,7,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,192,7,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,29,7,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,38,7,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,97,8,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,39,8,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,94,8,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,175,8,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,154,8,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,57,8,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,22,9,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,206,9,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,32,9,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,163,9,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,103,9,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,46,10,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,126,10,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,92,10,5
