graph_name,dataset,role,source,target,path_length
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,51,1
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,147,3
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,58,3
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,143,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,49,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,2,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,78,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,114,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,116,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,13,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,79,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,166,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,140,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,62,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,194,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,138,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,117,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,33,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,190,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,53,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,72,8
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,141,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,191,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,113,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,71,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,47,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,12,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,201,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,69,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,63,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,178,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,160,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,75,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,60,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,7,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,177,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,44,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,155,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,153,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,85,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,81,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,131,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,152,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,146,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,158,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,96,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,82,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,9,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,84,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,77,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,89,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,20,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,34,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,88,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,132,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,172,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,68,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,86,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,204,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,151,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,171,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,180,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,14,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,186,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,8,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,168,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,185,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,181,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,182,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,59,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,112,24,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,81,1
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,146,2
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,158,2
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,82,2
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,9,2
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,75,2
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,84,3
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,77,3
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,89,3
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,34,3
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,88,3
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,172,3
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,69,3
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,86,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,63,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,204,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,151,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,180,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,14,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,186,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,60,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,8,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,185,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,181,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,182,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,72,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,141,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,59,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,71,6
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,47,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,190,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,140,7
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,143,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,62,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,58,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,194,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,53,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,51,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,147,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,49,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,201,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,2,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,78,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,178,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,7,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,177,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,44,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,85,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,79,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,153,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,166,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,152,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,138,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,33,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,132,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,171,18
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,191,18
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,168,19
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,160,20
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,24,20
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,155,21
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,96,22
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,20,23
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,131,68,24
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,85,2
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,7,3
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,53,4
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,62,5
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,58,9
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,72,10
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,51,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,71,11
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,47,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,49,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,69,12
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,63,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,78,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,75,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,60,13
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,79,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,81,14
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,82,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,9,15
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,84,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,77,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,89,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,88,16
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,86,17
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,8,18
metr-la-by-high_sal-with-alpah_filter0_4,metr-la,backbone,44,59,19
