graph_name,dataset,role,source,target,path_length
metr-la,metr-la,original,0,42,1
metr-la,metr-la,original,0,111,1
metr-la,metr-la,original,0,142,1
metr-la,metr-la,original,0,54,1
metr-la,metr-la,original,0,145,1
metr-la,metr-la,original,0,58,1
metr-la,metr-la,original,0,36,1
metr-la,metr-la,original,0,13,1
metr-la,metr-la,original,0,199,1
metr-la,metr-la,original,0,67,1
metr-la,metr-la,original,0,143,1
metr-la,metr-la,original,0,118,1
metr-la,metr-la,original,0,140,1
metr-la,metr-la,original,0,114,1
metr-la,metr-la,original,0,37,1
metr-la,metr-la,original,0,115,1
metr-la,metr-la,original,0,116,1
metr-la,metr-la,original,0,125,1
metr-la,metr-la,original,0,95,2
metr-la,metr-la,original,0,117,2
metr-la,metr-la,original,0,175,2
metr-la,metr-la,original,0,176,2
metr-la,metr-la,original,0,168,2
metr-la,metr-la,original,0,61,2
metr-la,metr-la,original,0,25,2
metr-la,metr-la,original,0,173,2
metr-la,metr-la,original,0,167,2
metr-la,metr-la,original,0,53,2
metr-la,metr-la,original,0,119,2
metr-la,metr-la,original,0,120,2
metr-la,metr-la,original,0,62,2
metr-la,metr-la,original,0,102,2
metr-la,metr-la,original,0,109,2
metr-la,metr-la,original,0,40,2
metr-la,metr-la,original,0,72,2
metr-la,metr-la,original,0,169,2
metr-la,metr-la,original,0,194,2
metr-la,metr-la,original,0,51,2
metr-la,metr-la,original,0,110,2
metr-la,metr-la,original,0,190,2
metr-la,metr-la,original,0,73,2
metr-la,metr-la,original,0,24,2
metr-la,metr-la,original,0,112,3
metr-la,metr-la,original,0,202,3
metr-la,metr-la,original,0,31,3
metr-la,metr-la,original,0,83,3
metr-la,metr-la,original,0,56,3
metr-la,metr-la,original,0,22,3
metr-la,metr-la,original,0,103,3
metr-la,metr-la,original,0,147,3
metr-la,metr-la,original,0,171,3
metr-la,metr-la,original,0,164,3
metr-la,metr-la,original,0,74,3
metr-la,metr-la,original,0,20,3
metr-la,metr-la,original,0,10,3
metr-la,metr-la,original,0,179,3
metr-la,metr-la,original,0,107,3
metr-la,metr-la,original,0,57,3
metr-la,metr-la,original,0,11,3
metr-la,metr-la,original,0,27,3
metr-la,metr-la,original,0,139,3
metr-la,metr-la,original,0,52,3
metr-la,metr-la,original,0,71,3
metr-la,metr-la,original,0,68,3
metr-la,metr-la,original,0,113,3
metr-la,metr-la,original,0,137,3
metr-la,metr-la,original,0,122,3
metr-la,metr-la,original,0,108,3
metr-la,metr-la,original,0,178,3
metr-la,metr-la,original,0,7,3
metr-la,metr-la,original,0,94,3
metr-la,metr-la,original,0,129,3
metr-la,metr-la,original,0,69,3
metr-la,metr-la,original,0,98,3
metr-la,metr-la,original,0,39,3
metr-la,metr-la,original,0,132,3
metr-la,metr-la,original,0,205,3
metr-la,metr-la,original,0,92,3
metr-la,metr-la,original,0,19,3
metr-la,metr-la,original,0,141,3
metr-la,metr-la,original,0,123,3
metr-la,metr-la,original,0,156,3
metr-la,metr-la,original,0,105,3
metr-la,metr-la,original,0,201,3
metr-la,metr-la,original,0,55,3
metr-la,metr-la,original,0,70,3
metr-la,metr-la,original,0,85,3
metr-la,metr-la,original,0,154,4
metr-la,metr-la,original,0,79,4
metr-la,metr-la,original,0,1,4
metr-la,metr-la,original,0,177,4
metr-la,metr-la,original,0,30,4
metr-la,metr-la,original,0,127,4
metr-la,metr-la,original,0,28,4
metr-la,metr-la,original,0,106,4
metr-la,metr-la,original,0,44,4
metr-la,metr-la,original,0,157,4
metr-la,metr-la,original,0,99,4
metr-la,metr-la,original,0,90,4
metr-la,metr-la,original,0,63,4
metr-la,metr-la,original,0,66,4
metr-la,metr-la,original,0,153,4
metr-la,metr-la,original,0,75,4
metr-la,metr-la,original,0,96,4
metr-la,metr-la,original,0,60,4
metr-la,metr-la,original,0,135,4
metr-la,metr-la,original,0,76,4
metr-la,metr-la,original,0,48,4
metr-la,metr-la,original,0,128,4
metr-la,metr-la,original,0,2,4
metr-la,metr-la,original,0,183,4
metr-la,metr-la,original,0,170,4
metr-la,metr-la,original,0,152,4
metr-la,metr-la,original,0,184,4
metr-la,metr-la,original,0,203,4
metr-la,metr-la,original,0,133,4
metr-la,metr-la,original,0,97,4
metr-la,metr-la,original,0,206,4
metr-la,metr-la,original,0,155,4
metr-la,metr-la,original,0,45,4
metr-la,metr-la,original,0,47,4
metr-la,metr-la,original,0,82,4
metr-la,metr-la,original,0,198,4
metr-la,metr-la,original,0,46,4
metr-la,metr-la,original,0,78,4
metr-la,metr-la,original,0,32,4
metr-la,metr-la,original,0,49,4
metr-la,metr-la,original,0,101,4
metr-la,metr-la,original,0,93,5
metr-la,metr-la,original,0,193,5
metr-la,metr-la,original,0,197,5
metr-la,metr-la,original,0,80,5
metr-la,metr-la,original,0,148,5
metr-la,metr-la,original,0,188,5
metr-la,metr-la,original,0,146,5
metr-la,metr-la,original,0,17,5
metr-la,metr-la,original,0,195,5
metr-la,metr-la,original,0,29,5
metr-la,metr-la,original,0,159,5
metr-la,metr-la,original,0,50,5
metr-la,metr-la,original,0,9,5
metr-la,metr-la,original,0,124,5
metr-la,metr-la,original,0,6,5
metr-la,metr-la,original,0,163,5
metr-la,metr-la,original,0,134,5
metr-la,metr-la,original,0,166,5
metr-la,metr-la,original,0,165,5
metr-la,metr-la,original,0,162,5
metr-la,metr-la,original,0,88,5
metr-la,metr-la,original,0,16,5
metr-la,metr-la,original,0,136,5
metr-la,metr-la,original,0,130,5
metr-la,metr-la,original,0,158,5
metr-la,metr-la,original,0,38,5
metr-la,metr-la,original,0,41,5
metr-la,metr-la,original,0,189,5
metr-la,metr-la,original,0,149,5
metr-la,metr-la,original,0,161,5
metr-la,metr-la,original,0,187,5
metr-la,metr-la,original,0,160,5
metr-la,metr-la,original,0,43,5
metr-la,metr-la,original,0,77,5
metr-la,metr-la,original,0,64,5
metr-la,metr-la,original,0,204,5
metr-la,metr-la,original,0,81,5
metr-la,metr-la,original,0,131,5
metr-la,metr-la,original,0,138,5
metr-la,metr-la,original,0,91,5
metr-la,metr-la,original,0,196,5
metr-la,metr-la,original,0,12,5
metr-la,metr-la,original,0,23,5
metr-la,metr-la,original,0,35,5
metr-la,metr-la,original,0,84,5
metr-la,metr-la,original,0,5,5
metr-la,metr-la,original,0,65,5
metr-la,metr-la,original,0,18,6
metr-la,metr-la,original,0,87,6
metr-la,metr-la,original,0,3,6
metr-la,metr-la,original,0,151,6
metr-la,metr-la,original,0,144,6
metr-la,metr-la,original,0,4,6
metr-la,metr-la,original,0,100,6
metr-la,metr-la,original,0,191,6
metr-la,metr-la,original,0,185,6
metr-la,metr-la,original,0,104,6
metr-la,metr-la,original,0,59,6
metr-la,metr-la,original,0,15,6
metr-la,metr-la,original,0,34,6
metr-la,metr-la,original,0,200,6
metr-la,metr-la,original,0,192,6
metr-la,metr-la,original,0,150,6
metr-la,metr-la,original,0,8,6
metr-la,metr-la,original,0,89,6
metr-la,metr-la,original,0,121,6
metr-la,metr-la,original,0,86,6
metr-la,metr-la,original,0,174,6
metr-la,metr-la,original,0,172,6
metr-la,metr-la,original,0,33,6
metr-la,metr-la,original,0,21,6
metr-la,metr-la,original,0,14,6
metr-la,metr-la,original,0,126,6
metr-la,metr-la,original,0,186,7
metr-la,metr-la,original,0,182,7
metr-la,metr-la,original,0,181,7
metr-la,metr-la,original,0,180,7
metr-la,metr-la,original,1,177,1
metr-la,metr-la,original,1,123,1
metr-la,metr-la,original,1,27,1
metr-la,metr-la,original,1,135,1
metr-la,metr-la,original,1,28,1
metr-la,metr-la,original,1,107,1
metr-la,metr-la,original,1,133,1
metr-la,metr-la,original,1,139,1
metr-la,metr-la,original,1,2,1
metr-la,metr-la,original,1,78,1
metr-la,metr-la,original,1,183,1
metr-la,metr-la,original,1,101,1
metr-la,metr-la,original,1,79,1
metr-la,metr-la,original,1,184,1
metr-la,metr-la,original,1,7,1
metr-la,metr-la,original,1,95,2
metr-la,metr-la,original,1,132,2
metr-la,metr-la,original,1,138,2
metr-la,metr-la,original,1,179,2
metr-la,metr-la,original,1,134,2
metr-la,metr-la,original,1,45,2
metr-la,metr-la,original,1,92,2
metr-la,metr-la,original,1,48,2
metr-la,metr-la,original,1,25,2
metr-la,metr-la,original,1,173,2
metr-la,metr-la,original,1,196,2
metr-la,metr-la,original,1,170,2
metr-la,metr-la,original,1,11,2
metr-la,metr-la,original,1,108,2
metr-la,metr-la,original,1,166,2
metr-la,metr-la,original,1,120,2
metr-la,metr-la,original,1,56,2
metr-la,metr-la,original,1,152,2
metr-la,metr-la,original,1,30,2
metr-la,metr-la,original,1,105,2
metr-la,metr-la,original,1,201,2
metr-la,metr-la,original,1,178,2
metr-la,metr-la,original,1,153,2
metr-la,metr-la,original,1,55,2
metr-la,metr-la,original,1,16,2
metr-la,metr-la,original,1,110,2
metr-la,metr-la,original,1,49,2
metr-la,metr-la,original,1,106,2
metr-la,metr-la,original,1,64,2
metr-la,metr-la,original,1,147,2
metr-la,metr-la,original,1,171,2
metr-la,metr-la,original,1,85,2
metr-la,metr-la,original,1,129,2
metr-la,metr-la,original,1,93,3
metr-la,metr-la,original,1,53,3
metr-la,metr-la,original,1,202,3
metr-la,metr-la,original,1,54,3
metr-la,metr-la,original,1,169,3
metr-la,metr-la,original,1,29,3
metr-la,metr-la,original,1,111,3
metr-la,metr-la,original,1,44,3
metr-la,metr-la,original,1,124,3
metr-la,metr-la,original,1,6,3
metr-la,metr-la,original,1,144,3
metr-la,metr-la,original,1,165,3
metr-la,metr-la,original,1,4,3
metr-la,metr-la,original,1,62,3
metr-la,metr-la,original,1,66,3
metr-la,metr-la,original,1,142,3
metr-la,metr-la,original,1,136,3
metr-la,metr-la,original,1,38,3
metr-la,metr-la,original,1,125,3
metr-la,metr-la,original,1,168,3
metr-la,metr-la,original,1,15,3
metr-la,metr-la,original,1,42,3
metr-la,metr-la,original,1,203,3
metr-la,metr-la,original,1,145,3
metr-la,metr-la,original,1,37,3
metr-la,metr-la,original,1,91,3
metr-la,metr-la,original,1,167,3
metr-la,metr-la,original,1,33,3
metr-la,metr-la,original,1,109,3
metr-la,metr-la,original,1,46,3
metr-la,metr-la,original,1,23,3
metr-la,metr-la,original,1,5,3
metr-la,metr-la,original,1,65,3
metr-la,metr-la,original,1,24,3
metr-la,metr-la,original,1,112,4
metr-la,metr-la,original,1,193,4
metr-la,metr-la,original,1,80,4
metr-la,metr-la,original,1,188,4
metr-la,metr-la,original,1,58,4
metr-la,metr-la,original,1,13,4
metr-la,metr-la,original,1,17,4
metr-la,metr-la,original,1,195,4
metr-la,metr-la,original,1,50,4
metr-la,metr-la,original,1,67,4
metr-la,metr-la,original,1,3,4
metr-la,metr-la,original,1,143,4
metr-la,metr-la,original,1,36,4
metr-la,metr-la,original,1,191,4
metr-la,metr-la,original,1,51,4
metr-la,metr-la,original,1,114,4
metr-la,metr-la,original,1,189,4
metr-la,metr-la,original,1,187,4
metr-la,metr-la,original,1,115,4
metr-la,metr-la,original,1,160,4
metr-la,metr-la,original,1,192,4
metr-la,metr-la,original,1,174,4
metr-la,metr-la,original,1,194,4
metr-la,metr-la,original,1,12,4
metr-la,metr-la,original,1,35,4
metr-la,metr-la,original,1,117,5
metr-la,metr-la,original,1,18,5
metr-la,metr-la,original,1,154,5
metr-la,metr-la,original,1,159,5
metr-la,metr-la,original,1,127,5
metr-la,metr-la,original,1,118,5
metr-la,metr-la,original,1,140,5
metr-la,metr-la,original,1,163,5
metr-la,metr-la,original,1,157,5
metr-la,metr-la,original,1,162,5
metr-la,metr-la,original,1,40,5
metr-la,metr-la,original,1,96,5
metr-la,metr-la,original,1,128,5
metr-la,metr-la,original,1,161,5
metr-la,metr-la,original,1,200,5
metr-la,metr-la,original,1,97,5
metr-la,metr-la,original,1,206,5
metr-la,metr-la,original,1,155,5
metr-la,metr-la,original,1,121,5
metr-la,metr-la,original,1,175,5
metr-la,metr-la,original,1,199,5
metr-la,metr-la,original,1,198,5
metr-la,metr-la,original,1,119,5
metr-la,metr-la,original,1,102,5
metr-la,metr-la,original,1,21,5
metr-la,metr-la,original,1,126,5
metr-la,metr-la,original,1,116,5
metr-la,metr-la,original,1,98,6
metr-la,metr-la,original,1,74,6
metr-la,metr-la,original,1,20,6
metr-la,metr-la,original,1,39,6
metr-la,metr-la,original,1,10,6
metr-la,metr-la,original,1,176,6
metr-la,metr-la,original,1,205,6
metr-la,metr-la,original,1,61,6
metr-la,metr-la,original,1,122,6
metr-la,metr-la,original,1,57,6
metr-la,metr-la,original,1,19,6
metr-la,metr-la,original,1,83,6
metr-la,metr-la,original,1,156,6
metr-la,metr-la,original,1,32,6
metr-la,metr-la,original,1,22,6
metr-la,metr-la,original,1,71,6
metr-la,metr-la,original,1,103,6
metr-la,metr-la,original,1,68,6
metr-la,metr-la,original,1,113,6
metr-la,metr-la,original,1,70,6
metr-la,metr-la,original,1,190,6
metr-la,metr-la,original,1,73,6
metr-la,metr-la,original,1,94,6
metr-la,metr-la,original,1,72,6
metr-la,metr-la,original,1,137,7
metr-la,metr-la,original,1,47,7
metr-la,metr-la,original,1,99,7
metr-la,metr-la,original,1,31,7
metr-la,metr-la,original,1,141,7
metr-la,metr-la,original,1,90,7
metr-la,metr-la,original,1,52,7
metr-la,metr-la,original,1,75,7
metr-la,metr-la,original,1,164,7
metr-la,metr-la,original,1,69,7
metr-la,metr-la,original,1,131,8
metr-la,metr-la,original,1,158,8
metr-la,metr-la,original,1,76,8
metr-la,metr-la,original,1,149,8
metr-la,metr-la,original,1,82,8
metr-la,metr-la,original,1,63,8
metr-la,metr-la,original,1,81,8
metr-la,metr-la,original,1,60,8
metr-la,metr-la,original,1,197,9
metr-la,metr-la,original,1,89,9
metr-la,metr-la,original,1,86,9
metr-la,metr-la,original,1,104,9
metr-la,metr-la,original,1,41,9
metr-la,metr-la,original,1,172,9
metr-la,metr-la,original,1,148,9
metr-la,metr-la,original,1,146,9
metr-la,metr-la,original,1,88,9
metr-la,metr-la,original,1,84,9
metr-la,metr-la,original,1,43,9
metr-la,metr-la,original,1,77,9
metr-la,metr-la,original,1,204,9
metr-la,metr-la,original,1,9,9
metr-la,metr-la,original,1,130,9
metr-la,metr-la,original,1,150,10
metr-la,metr-la,original,1,8,10
metr-la,metr-la,original,1,151,10
metr-la,metr-la,original,1,186,10
metr-la,metr-la,original,1,59,10
metr-la,metr-la,original,1,34,10
metr-la,metr-la,original,1,14,10
metr-la,metr-la,original,1,100,10
metr-la,metr-la,original,1,185,10
metr-la,metr-la,original,1,181,10
metr-la,metr-la,original,1,87,10
metr-la,metr-la,original,1,180,10
metr-la,metr-la,original,1,182,11
metr-la,metr-la,original,2,27,1
metr-la,metr-la,original,2,28,1
metr-la,metr-la,original,2,49,1
metr-la,metr-la,original,2,78,1
metr-la,metr-la,original,2,79,1
metr-la,metr-la,original,2,85,1
metr-la,metr-la,original,2,44,2
metr-la,metr-la,original,2,25,2
metr-la,metr-la,original,2,201,2
metr-la,metr-la,original,2,55,2
metr-la,metr-la,original,2,7,2
