graph_name,dataset,role,source,target,path_length
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,13,1
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,36,1
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,115,1
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,37,1
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,145,2
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,118,2
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,54,2
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,116,2
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,58,2
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,67,2
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,42,2
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,143,3
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,142,3
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,111,3
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,95,3
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,109,3
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,199,3
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,62,3
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,24,3
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,114,3
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,140,3
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,51,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,169,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,167,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,25,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,129,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,112,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,125,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,120,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,117,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,53,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,147,4
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,171,5
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,139,5
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,194,5
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,201,5
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,49,5
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,173,5
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,78,5
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,110,5
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,168,5
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,61,5
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,79,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,113,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,107,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,101,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,132,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,133,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,56,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,202,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,72,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,2,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,179,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,183,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,178,6
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,71,7
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,152,7
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,28,7
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,203,7
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,106,7
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,108,7
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,1,7
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,184,7
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,85,7
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,69,7
metr-la-by-nois_corr-with-alpah_filter0_1,metr-la,backbone,0,48,7
