graph_name,dataset,role,source,target,weight,edge_overlap
metr-la,metr-la,original,0,13,0.2609359323978424,0.5454545454545454
metr-la,metr-la,original,0,37,0.5088465213775635,0.47619047619047616
metr-la,metr-la,original,0,42,0.13740046322345734,0.32
metr-la,metr-la,original,0,54,0.440931499004364,0.47619047619047616
metr-la,metr-la,original,0,111,0.21944807469844818,0.45454545454545453
metr-la,metr-la,original,0,116,0.17156153917312622,0.3888888888888889
metr-la,metr-la,original,0,125,0.10258746892213821,0.23076923076923078
metr-la,metr-la,original,0,140,0.11251228302717209,0.3333333333333333
metr-la,metr-la,original,0,142,0.7216228246688843,0.5714285714285714
metr-la,metr-la,original,0,145,0.8777612447738647,0.5789473684210527
metr-la,metr-la,original,0,199,0.11980408430099487,0.3333333333333333
metr-la,metr-la,original,0,36,0.5190026164054871,0.3888888888888889
metr-la,metr-la,original,0,58,0.1077904999256134,0.4090909090909091
metr-la,metr-la,original,0,67,0.3004092574119568,0.2727272727272727
metr-la,metr-la,original,0,114,0.1364293247461319,0.4090909090909091
metr-la,metr-la,original,0,115,0.9417392015457153,0.5882352941176471
metr-la,metr-la,original,0,118,0.11017612367868423,0.20833333333333334
metr-la,metr-la,original,0,143,0.5301210880279541,0.4444444444444444
metr-la,metr-la,original,1,2,0.7174379229545593,0.42105263157894735
metr-la,metr-la,original,1,7,0.3904570937156677,0.28
metr-la,metr-la,original,1,28,0.5737320184707642,0.42857142857142855
metr-la,metr-la,original,1,78,0.3811626136302948,0.3684210526315789
metr-la,metr-la,original,1,107,0.16216348111629486,0.2631578947368421
metr-la,metr-la,original,1,177,0.9262187480926514,0.6875
metr-la,metr-la,original,1,183,0.15487240254878998,0.5714285714285714
metr-la,metr-la,original,1,27,0.17942525446414948,0.2916666666666667
metr-la,metr-la,original,1,79,0.350985586643219,0.3181818181818182
metr-la,metr-la,original,1,101,0.12004735320806503,0.12
metr-la,metr-la,original,1,123,0.9729598164558411,0.7333333333333333
metr-la,metr-la,original,1,133,0.22998575866222382,0.22727272727272727
metr-la,metr-la,original,1,135,0.8250966668128967,0.6470588235294118
metr-la,metr-la,original,1,139,0.239010751247406,0.19047619047619047
metr-la,metr-la,original,1,184,0.5744270086288452,0.3333333333333333
metr-la,metr-la,original,2,28,0.17432714998722076,0.45
metr-la,metr-la,original,2,49,0.4410549998283386,0.21052631578947367
metr-la,metr-la,original,2,78,0.923679769039154,0.7857142857142857
metr-la,metr-la,original,2,123,0.27594172954559326,0.25
metr-la,metr-la,original,2,129,0.163930743932724,0.15789473684210525
metr-la,metr-la,original,2,177,0.48294657468795776,0.3684210526315789
metr-la,metr-la,original,2,183,0.5701920986175537,0.3125
metr-la,metr-la,original,2,27,0.5831708312034607,0.36363636363636365
metr-la,metr-la,original,2,79,0.8189860582351685,0.5555555555555556
metr-la,metr-la,original,2,85,0.3976667821407318,0.30434782608695654
metr-la,metr-la,original,2,108,0.16533386707305908,0.22727272727272727
metr-la,metr-la,original,2,132,0.2702118456363678,0.24
metr-la,metr-la,original,2,135,0.13789547979831696,0.42105263157894735
metr-la,metr-la,original,3,4,0.6264643669128418,0.5909090909090909
metr-la,metr-la,original,3,12,0.11933211982250214,0.5
metr-la,metr-la,original,3,15,0.5225507616996765,0.5238095238095238
