graph_name,dataset,role,node,community_id,community_size
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,56,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,164,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,19,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,2,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,38,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,205,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,227,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,254,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,200,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,41,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,158,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,201,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,204,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,134,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,18,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,102,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,203,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,160,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,4,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,72,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,217,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,97,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,68,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,208,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,207,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,202,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,210,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,313,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,199,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,226,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,151,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,126,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,206,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,53,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,73,0,35
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,234,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,231,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,196,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,262,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,270,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,167,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,268,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,235,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,145,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,311,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,258,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,141,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,272,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,273,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,271,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,236,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,147,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,232,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,260,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,267,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,261,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,229,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,148,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,265,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,269,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,169,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,264,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,233,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,266,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,182,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,263,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,259,1,32
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,140,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,242,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,193,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,87,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,78,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,245,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,125,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,163,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,42,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,241,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,161,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,243,2,24
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,244,2,24
