graph_name,dataset,role,source,target,path_length
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,4,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,97,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,41,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,68,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,203,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,217,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,227,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,226,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,201,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,254,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,72,1
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,26,2
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,20,2
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,205,2
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,208,2
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,53,2
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,202,2
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,56,2
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,313,2
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,204,2
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,200,2
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,6,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,206,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,38,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,99,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,207,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,215,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,82,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,312,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,31,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,210,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,73,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,50,3
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,219,4
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,209,4
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,310,4
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,237,4
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,257,4
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,319,4
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,58,4
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,55,4
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,9,4
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,24,4
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,236,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,223,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,324,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,221,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,48,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,212,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,321,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,34,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,218,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,84,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,323,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,311,5
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,235,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,76,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,249,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,25,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,246,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,62,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,220,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,54,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,222,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,40,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,234,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,51,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,322,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,230,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,60,6
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,247,7
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,225,7
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,89,7
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,229,7
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,86,7
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,61,7
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,232,7
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,231,7
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,91,7
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,36,7
pems-bay-by-disp_fil-with-alpah_filter0_4,pems-bay,backbone,2,280,7
