graph_name,dataset,role,node,community_id,community_size
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,106,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,108,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,81,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,101,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,86,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,240,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,100,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,144,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,96,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,127,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,85,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,164,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,228,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,33,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,7,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,62,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,237,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,123,0,18
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,133,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,45,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,251,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,49,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,30,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,64,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,14,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,93,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,23,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,79,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,138,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,320,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,17,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,146,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,120,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,250,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,135,1,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,267,2,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,272,2,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,266,2,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,264,2,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,263,2,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,229,2,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,259,2,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,271,2,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,265,2,17
pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,262,2,17
