graph_name_original,dataset_original,role_original,node,degree_original,strength_original,clustering_original,weighted_clustering_original,local_efficiency_original,degree_centrality_original,betweenness_centrality_original,closeness_centrality_original,eigenvector_centrality_original,pagerank_original,community_id_original,graph_name_backbone,dataset_backbone,role_backbone,degree_backbone,strength_backbone,clustering_backbone,weighted_clustering_backbone,local_efficiency_backbone,degree_centrality_backbone,betweenness_centrality_backbone,closeness_centrality_backbone,eigenvector_centrality_backbone,pagerank_backbone,community_id_backbone,dataset,original_graph,backbone_graph,present_in_original,present_in_backbone,degree_centrality_delta,degree_centrality_abs_delta,betweenness_centrality_delta,betweenness_centrality_abs_delta,closeness_centrality_delta,closeness_centrality_abs_delta,eigenvector_centrality_delta,eigenvector_centrality_abs_delta,pagerank_delta,pagerank_abs_delta
pems-bay,pems-bay,original,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5685867587177018e-33,0.0004688965301656768,13,,,,,,,,,,,,,,,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_4,True,False,,,,,,,,,,
pems-bay,pems-bay,original,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5685867587177018e-33,0.0004688965301656768,14,,,,,,,,,,,,,,,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_4,True,False,,,,,,,,,,
pems-bay,pems-bay,original,10,4,2.250320643186569,1.0,0.4442482956808722,1.0,0.012345679012345678,0.0,0.06381689838518033,3.3418857649940123e-07,0.0021931452315144973,0,pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,1.0,0.8794770836830139,0.0,0.0,0.0,0.004273504273504274,0.0,0.0055984018952217355,4.69669318713584e-26,0.003463462008351721,17.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_4,True,True,-0.008072174738841404,0.008072174738841404,0.0,0.0,-0.058218496489958596,0.058218496489958596,-3.3418857649940123e-07,3.3418857649940123e-07,0.0012703167768372235,0.0012703167768372235
pems-bay,pems-bay,original,100,5,2.8822704553604126,1.0,0.4911619938684117,1.0,0.015432098765432098,0.0,0.07217745058067535,3.11361981315321e-06,0.002210848658430244,11,pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,1.0,0.7618140578269958,0.0,0.0,0.0,0.004273504273504274,0.0,0.02258931258141203,2.9704035172746897e-06,0.003106210870721207,0.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_4,True,True,-0.011158594491927824,0.011158594491927824,0.0,0.0,-0.049588137999263315,0.049588137999263315,-1.4321629587852022e-07,1.4321629587852022e-07,0.0008953622122909628,0.0008953622122909628
pems-bay,pems-bay,original,101,9,3.938135802745819,0.6666666666666666,0.3115780293736706,0.8333333333333334,0.027777777777777776,0.0,0.05969288283638668,1.4212236784781898e-08,0.0026527733501808823,3,pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,1.0,0.75192791223526,0.0,0.0,0.0,0.004273504273504274,0.0,0.026440427168964584,6.120300866840238e-05,0.002687074530874582,0.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_4,True,True,-0.023504273504273504,0.023504273504273504,0.0,0.0,-0.03325245566742209,0.03325245566742209,6.118879643161761e-05,6.118879643161761e-05,3.430118069369962e-05,3.430118069369962e-05
pems-bay,pems-bay,original,102,23,10.56473870575428,0.42292490118577075,0.21104662807489352,0.6949934123847163,0.07098765432098765,0.10428849902534112,0.08841291184652003,6.834115318823148e-05,0.004461976437439742,0,pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,1.0,0.6406213641166687,0.0,0.0,0.0,0.004273504273504274,0.0,0.0027376981372507214,1.1023914379213556e-47,0.00425531914893617,26.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_4,True,True,-0.06671415004748338,0.06671415004748338,-0.10428849902534112,0.10428849902534112,-0.08567521370926931,0.08567521370926931,-6.834115318823148e-05,6.834115318823148e-05,-0.00020665728850357157,0.00020665728850357157
pems-bay,pems-bay,original,103,15,8.88908076286316,0.7619047619047619,0.44189606740853754,0.8809523809523809,0.046296296296296294,0.003153308106868478,0.06782200881619385,1.2140199188600014e-06,0.003601798003105673,6,pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,1.0,0.7091724276542664,0.0,0.0,0.0,0.004273504273504274,0.0,0.034517213491161734,0.0004975593649744191,0.0026435253698456644,8.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_4,True,True,-0.04202279202279202,0.04202279202279202,-0.003153308106868478,0.003153308106868478,-0.03330479532503212,0.03330479532503212,0.0004963453450555591,0.0004963453450555591,-0.0009582726332600087,0.0009582726332600087
pems-bay,pems-bay,original,104,13,4.921937584877014,0.5128205128205128,0.21761409655925945,0.7307692307692306,0.040123456790123455,0.034896609716011155,0.05588082097497467,3.537866110907512e-08,0.0030503327138322947,5,pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,2.0,1.168255865573883,0.0,0.0,0.0,0.008547008547008548,0.09537434430138292,0.028295884202008806,5.255820486739525e-05,0.004138886147243242,4.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_4,True,True,-0.03157644824311491,0.03157644824311491,0.06047773458537176,0.06047773458537176,-0.027584936772965862,0.027584936772965862,5.2522826206286176e-05,5.2522826206286176e-05,0.0010885534334109477,0.0010885534334109477
pems-bay,pems-bay,original,105,11,5.827184855937958,0.6909090909090909,0.3652800101392992,0.8454545454545455,0.033950617283950615,0.011141688644268623,0.05805334355827518,9.729076709285402e-08,0.0027777962525545184,2,pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,3.0,1.70086869597435,0.0,0.0,0.0,0.012820512820512822,0.010894684714427203,0.025454378552982694,0.05813875841809136,0.006118124674437066,5.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_4,True,True,-0.021130104463437792,0.021130104463437792,-0.00024700392984142,0.00024700392984142,-0.03259896500529249,0.03259896500529249,0.05813866112732426,0.05813866112732426,0.0033403284218825476,0.0033403284218825476
pems-bay,pems-bay,original,106,8,4.9717568308115005,0.9285714285714286,0.5273397095166451,0.9642857142857143,0.024691358024691357,9.55547911172266e-05,0.06275381563702803,2.5311725797981005e-08,0.0032136880981780097,3,pems-bay-by-high_sal-with-alpah_filter0_4,pems-bay,backbone,1.0,0.7544533014297485,0.0,0.0,0.0,0.004273504273504274,0.0,0.027313783619451453,9.167432451973426e-05,0.002522566765369756,0.0,pems-bay,pems-bay,pems-bay-by-high_sal-with-alpah_filter0_4,True,True,-0.020417853751187084,0.020417853751187084,-9.55547911172266e-05,9.55547911172266e-05,-0.035440032017576575,0.035440032017576575,9.164901279393628e-05,9.164901279393628e-05,-0.0006911213328082539,0.0006911213328082539
