graph_name,dataset,role,node,community_id,community_size
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,218,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,213,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,247,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,90,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,214,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,156,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,118,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,246,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,36,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,111,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,54,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,186,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,132,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,253,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,248,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,124,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,57,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,157,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,222,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,187,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,220,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,216,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,40,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,189,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,177,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,188,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,174,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,183,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,137,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,211,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,105,0,34
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,224,0,34
