graph_name,dataset,role,source,target,weight,edge_overlap
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,2,4,0.6148080825805664,0.3333333333333333
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,2,19,0.6905351877212524,0.3333333333333333
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,2,41,0.6264347434043884,0.0
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,2,68,0.9829184412956238,0.3333333333333333
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,3,28,0.6952648758888245,0.5
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,3,42,0.9891973733901978,0.5
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,4,19,0.4053170382976532,0.6666666666666666
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,4,158,0.9548684358596802,0.125
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,4,6,0.2391900271177292,0.2857142857142857
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,4,20,0.46065831184387207,0.1111111111111111
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,4,68,0.7994903326034546,0.25
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,5,21,0.41903579235076904,0.09090909090909091
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,5,66,0.9918698072433472,0.75
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,5,44,0.8325929045677185,0.1
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,5,117,0.6631859540939331,0.16666666666666666
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,5,155,0.6400781273841858,0.18181818181818182
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,5,184,0.5115564465522766,0.25
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,5,185,0.5146591663360596,0.25
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,6,19,0.19185353815555573,0.125
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,6,20,0.9050489664077759,0.5
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,6,97,0.4385208785533905,0.125
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,6,160,0.3912578523159027,0.125
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,7,33,0.10654368996620178,0.09090909090909091
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,7,96,0.6553107500076294,0.5
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,7,101,0.9865996241569519,0.3333333333333333
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,7,106,0.7763336896896362,0.3333333333333333
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,8,43,0.9448099732398987,0.8333333333333334
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,8,88,0.6970007419586182,0.42857142857142855
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,8,190,0.9159340262413025,1.0
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,8,191,0.754143476486206,0.8333333333333334
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,8,192,0.7357451915740967,1.0
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,8,197,0.5283737778663635,0.8333333333333334
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,8,198,0.5252982378005981,0.6666666666666666
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,9,26,0.3889787495136261,0.25
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,9,31,0.8519214391708374,0.5
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,9,55,0.9928812384605408,0.375
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,9,51,0.19864949584007263,0.0
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,9,84,0.8139663338661194,0.3333333333333333
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,10,115,0.9963839054107666,0.3333333333333333
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,10,16,0.17119766771793365,0.3333333333333333
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,10,46,0.8794770836830139,1.0
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,10,50,0.20326198637485504,0.25
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,11,48,0.30644065141677856,0.2222222222222222
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,11,60,0.7368704676628113,0.5
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,11,91,0.9983904957771301,1.0
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,11,113,0.790931761264801,0.8
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,11,173,0.21403926610946655,0.6
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,11,252,0.3942153751850128,0.6
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,12,74,0.744202196598053,0.25
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,12,83,0.8056862354278564,0.2857142857142857
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,12,44,0.707196056842804,0.2222222222222222
pems-bay-by-nois_corr-with-alpah_filter0_1,pems-bay,backbone,12,117,0.5260900855064392,0.07692307692307693
