graph_name,dataset,role,node,degree,strength,clustering,weighted_clustering,local_efficiency,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,community_id
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0659728910809748e-19,0.0004688965301656768,14
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5695153546763534e-18,0.0004688965301656768,15
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,2,16,11.503501743078232,0.625,0.43225720847720467,0.8125,0.04938271604938271,0.04173833276000458,0.09005939261414025,0.00012498552841634853,0.004581066349272547,0
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,3,14,9.933489054441452,0.7362637362637363,0.5297536348491622,0.8681318681318682,0.043209876543209874,0.007892825746282918,0.06398804605767985,0.18339198027393885,0.002920905365363104,4
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,4,19,8.978632286190987,0.391812865497076,0.1995354240699476,0.6910331384015597,0.05864197530864197,0.05524978022398042,0.08843949291126985,0.00011318065181851393,0.003859689745393375,0
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,5,11,5.998279146850109,0.45454545454545453,0.23362814819424566,0.718181818181818,0.033950617283950615,0.019951840385276916,0.0531454347221585,6.83494166002352e-07,0.003770853006632699,5
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,6,8,2.667993202805519,0.5,0.19844289720778055,0.75,0.024691358024691357,0.0,0.07997133740609813,1.8006968651469304e-05,0.0015585734273451082,0
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,7,9,3.593413785099983,0.6666666666666666,0.28659396912241425,0.8333333333333334,0.027777777777777776,0.005714176508810152,0.05917256113864965,2.2188328009249453e-08,0.0024650748296054965,3
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,8,7,5.101305425167084,1.0,0.6764888098878858,1.0,0.021604938271604937,0.005293735427894354,0.07601440059279696,0.0005526839444272973,0.0029912832225301974,13
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,9,13,7.8216948211193085,0.5897435897435898,0.37638567487679087,0.7884615384615384,0.040123456790123455,0.0,0.07840767879533123,3.957656557414683e-06,0.003458708785434393,6
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,10,4,2.250320643186569,1.0,0.4442482956808722,1.0,0.012345679012345678,0.0,0.0637954806289871,2.5958075283786787e-07,0.0022394746729392312,0
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,11,6,3.4408880174160004,0.7333333333333333,0.3991421968594759,0.8666666666666667,0.018518518518518517,0.012001681764323662,0.06306064178193911,3.5958101552107524e-06,0.0030818781313333337,1
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,12,8,4.551278203725815,0.5357142857142857,0.2674237193438936,0.7678571428571429,0.024691358024691357,0.0017390971983335243,0.04932796622341238,4.933742186578733e-07,0.003040931680372966,5
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,13,8,6.375331401824951,1.0,0.72586914688718,1.0,0.024691358024691357,0.0,0.06691757956730651,5.28923234911678e-06,0.0030956303549085767,0
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,14,9,4.675562761723995,0.6111111111111112,0.3353397789275749,0.7916666666666667,0.027777777777777776,0.036903260329472914,0.054819295627437016,1.346944022877159e-09,0.003170488625295868,7
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,15,7,3.5848269164562225,0.6190476190476191,0.32574374562854275,0.8095238095238095,0.021604938271604937,0.07061499063563047,0.06303129482895259,2.705225226610577e-08,0.002651566309010148,3
pems-bay-by-nois_corr-with-alpah_filter0_3,pems-bay,backbone,16,10,3.7014270424842834,0.4222222222222222,0.17970961389530338,0.7111111111111111,0.030864197530864196,0.004930627221648893,0.08108121241092764,6.569568584381504e-06,0.0024495135289198254,0
