graph_name,dataset,role,node,community_id,community_size
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,704,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,474,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,829,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,1054,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,827,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,705,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,816,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,791,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,1053,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,944,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,1013,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,814,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,742,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,590,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,506,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,234,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,103,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,354,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,600,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,972,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,608,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,746,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,826,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,890,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,606,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,367,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,51,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,1057,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,593,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,47,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,1023,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,941,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,1020,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,803,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,630,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,1067,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,802,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,733,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,664,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,357,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,683,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,669,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,390,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,386,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,728,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,1000,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,349,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,998,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,703,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,933,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,692,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,397,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,105,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,384,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,763,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,287,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,897,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,42,0,321
wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,355,0,321
