graph_name_original,dataset_original,role_original,node,degree_original,strength_original,clustering_original,weighted_clustering_original,local_efficiency_original,degree_centrality_original,betweenness_centrality_original,closeness_centrality_original,eigenvector_centrality_original,pagerank_original,community_id_original,graph_name_backbone,dataset_backbone,role_backbone,degree_backbone,strength_backbone,clustering_backbone,weighted_clustering_backbone,local_efficiency_backbone,degree_centrality_backbone,betweenness_centrality_backbone,closeness_centrality_backbone,eigenvector_centrality_backbone,pagerank_backbone,community_id_backbone,dataset,original_graph,backbone_graph,present_in_original,present_in_backbone,degree_centrality_delta,degree_centrality_abs_delta,betweenness_centrality_delta,betweenness_centrality_abs_delta,closeness_centrality_delta,closeness_centrality_abs_delta,eigenvector_centrality_delta,eigenvector_centrality_abs_delta,pagerank_delta,pagerank_abs_delta
wikivital-mathematics,wikivital-mathematics,original,0,533,654.0,0.08505550931738351,0.006858065629663275,0.5065060634698918,0.49953139643861294,0.07077002420168804,1.1294858937132117,0.1478948041877163,0.007993408070246025,0,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,111,177.0,0.06552006552006552,0.0070650833596646485,0.34599235599236877,0.10402999062792878,0.0499002014245917,1.0711632151260422,0.034823661341464036,0.0027577108106339207,6,wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,True,True,-0.39550140581068416,0.39550140581068416,-0.020869822777096342,0.020869822777096342,-0.05832267858716955,0.05832267858716955,-0.11307114284625228,0.11307114284625228,-0.005235697259612104,0.005235697259612104
wikivital-mathematics,wikivital-mathematics,original,1,177,248.0,0.21661530559835646,0.018802676852262147,0.6011599041260091,0.16588566073102157,0.015063022034445126,1.0603883143696544,0.06831204399745666,0.002953967674076079,0,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,123,194.0,0.16286818605890976,0.015985564898696306,0.5555999822293133,0.11527647610121837,0.01689176177178434,1.0513188324644067,0.04614052180242389,0.002612089679929375,1,wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,True,True,-0.0506091846298032,0.0506091846298032,0.0018287397373392134,0.0018287397373392134,-0.0090694819052477,0.0090694819052477,-0.022171522195032774,0.022171522195032774,-0.00034187799414670374,0.00034187799414670374
wikivital-mathematics,wikivital-mathematics,original,10,123,150.0,0.3719845395175263,0.029713154766007267,0.6829046159314056,0.11527647610121837,0.0004654385091900803,0.8955837942431953,0.04855786080959743,0.001729515742647874,0,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,108,135.0,0.3013153340256144,0.024620662837821262,0.6419031960309166,0.10121836925960638,0.0005037268489619507,0.8900411157205784,0.03796904554592378,0.0017315210607072742,0,wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,True,True,-0.01405810684161199,0.01405810684161199,3.82883397718704e-05,3.82883397718704e-05,-0.005542678522616917,0.005542678522616917,-0.010588815263673654,0.010588815263673654,2.0053180594002337e-06,2.0053180594002337e-06
wikivital-mathematics,wikivital-mathematics,original,100,49,60.0,0.8954081632653061,0.06889221793021187,0.9477040816326531,0.04592314901593252,0.00040515598725304524,0.6842338707522618,0.005694773218735137,0.0007819275381693875,5,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,49,60.0,0.8818027210884354,0.06787252131292248,0.9407596371882088,0.04592314901593252,0.0003946058132630926,0.6773703768736175,0.006204135595288621,0.0008189689366485389,4,wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,-1.0550173989952666e-05,1.0550173989952666e-05,-0.006863493878644378,0.006863493878644378,0.0005093623765534839,0.0005093623765534839,3.7041398479151395e-05,3.7041398479151395e-05
wikivital-mathematics,wikivital-mathematics,original,1000,17,32.0,0.8529411764705882,0.09177354878758222,0.9264705882352942,0.015932521087160263,1.6169606941545586e-05,0.6790272639734778,0.0013003272508620917,0.0006311309984997528,2,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,17,32.0,0.8529411764705882,0.09177354878758222,0.9264705882352942,0.015932521087160263,1.6169606941545586e-05,0.6774743141581661,0.0014083188325472202,0.0006507886163291385,0,wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0,0.0,-0.0015529498153117327,0.0015529498153117327,0.00010799158168512844,0.00010799158168512844,1.9657617829385706e-05,1.9657617829385706e-05
wikivital-mathematics,wikivital-mathematics,original,1001,10,12.0,0.5333333333333333,0.04056344126268518,0.7629629629629628,0.009372071227741332,0.0,0.6570523765928329,0.0044102097387003145,0.00026921644818119655,4,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,10,12.0,0.4,0.03186910647116452,0.677777777777778,0.009372071227741332,0.0,0.6545520670677062,0.0033919800066327713,0.0002841347855969809,3,wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0,0.0,-0.0025003095251266982,0.0025003095251266982,-0.0010182297320675431,0.0010182297320675431,1.4918337415784327e-05,1.4918337415784327e-05
wikivital-mathematics,wikivital-mathematics,original,1002,23,28.0,0.38735177865612647,0.030517486439572673,0.6831357048748354,0.02155576382380506,2.6961555752101387e-05,0.7973497589052203,0.011114141331748862,0.0004434854131245457,0,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,22,27.0,0.2683982683982684,0.021113439332620037,0.5709956709956718,0.020618556701030927,3.5167246633175726e-05,0.7906091566456359,0.009828668839816283,0.0004631036192347766,1,wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,True,True,-0.0009372071227741335,0.0009372071227741335,8.205690881074338e-06,8.205690881074338e-06,-0.006740602259584394,0.006740602259584394,-0.001285472491932579,0.001285472491932579,1.961820611023088e-05,1.961820611023088e-05
wikivital-mathematics,wikivital-mathematics,original,1003,6,6.0,0.2,0.012499999999999999,0.2,0.005623242736644799,0.0,0.5365683405043005,0.0016099983774624262,0.0002083418437261602,4,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,6,6.0,0.2,0.012499999999999999,0.2,0.005623242736644799,0.0,0.5316088857712317,0.0016253841738491466,0.00021505178158915325,3,wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0,0.0,-0.004959454733068802,0.004959454733068802,1.538579638672038e-05,1.538579638672038e-05,6.709937862993057e-06,6.709937862993057e-06
wikivital-mathematics,wikivital-mathematics,original,1004,16,23.0,0.25,0.024331216271837548,0.4791666666666666,0.01499531396438613,4.8648024509226414e-05,0.7554589975127423,0.005490174232539181,0.00043447779337753875,2,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,15,22.0,0.18095238095238095,0.02033716816658496,0.35412698412698423,0.014058106841611996,4.923414528644602e-05,0.7524182181112136,0.004672152417419105,0.0004463738350234687,0,wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,True,True,-0.0009372071227741335,0.0009372071227741335,5.861207772196031e-07,5.861207772196031e-07,-0.0030407794015286926,0.0030407794015286926,-0.000818021815120076,0.000818021815120076,1.1896041645929932e-05,1.1896041645929932e-05
wikivital-mathematics,wikivital-mathematics,original,1005,11,12.0,0.41818181818181815,0.03135333376538614,0.6536363636363639,0.010309278350515464,0.0,0.7251040764249621,0.004859473456643366,0.00026758146711697696,1,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,wikivital-mathematics,backbone,11,12.0,0.2545454545454545,0.018981735695565043,0.533636363636364,0.010309278350515464,0.0,0.7028199157925114,0.004151406217457841,0.00028394771068819134,2,wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,True,True,0.0,0.0,0.0,0.0,-0.022284160632450756,0.022284160632450756,-0.0007080672391855253,0.0007080672391855253,1.6366243571214385e-05,1.6366243571214385e-05
