graph_name,dataset,role,node,community_id,community_size
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,162,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,80,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,187,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,128,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,198,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,191,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,12,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,136,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,4,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,97,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,16,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,5,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,188,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,96,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,192,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,6,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,38,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,193,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,154,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,3,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,15,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,206,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,91,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,195,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,160,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,161,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,93,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,144,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,163,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,155,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,159,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,17,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,33,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,127,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,157,0,35
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,37,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,67,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,24,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,109,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,139,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,115,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,118,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,42,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,145,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,110,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,51,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,58,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,125,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,114,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,199,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,13,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,116,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,169,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,54,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,25,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,194,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,142,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,143,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,112,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,111,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,140,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,62,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,120,1,33
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,167,1,33
