graph_name,dataset,role,node,degree,strength,clustering,weighted_clustering,local_efficiency,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,community_id
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,0,84,205.0,0.08491107286288009,0.013212168067099983,0.39176706827309893,0.08203125,0.05443542367427762,1.1148183961016442,0.04817373598753471,0.005217492101022669,0
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,1,48,119.0,0.10372340425531915,0.01695502864599189,0.40602836879433085,0.046875,0.016307558146531332,1.068911209040824,0.020394202676722737,0.00304490956540857,0
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,2,37,98.0,0.1831831831831832,0.03174714648235625,0.5205705705705722,0.0361328125,0.006686469290783924,1.0577224174075022,0.030868798090322433,0.0022096465253404903,0
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,3,47,121.0,0.16466234967622573,0.026161282230894395,0.5013105149552927,0.0458984375,0.012642534569870884,0.9929077821491203,0.02578609429450656,0.0027220123151572993,3
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,4,81,201.0,0.25030864197530867,0.03909935407671476,0.5947788065843691,0.0791015625,0.01886163290208146,1.0349625903065067,0.1961353349746309,0.0038886334465358355,2
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,5,55,129.0,0.15824915824915825,0.024528314342830967,0.5204826038159306,0.0537109375,0.013216914443130431,1.091909519420738,0.05863762376302293,0.002876019218229315,2
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,6,8,21.0,0.10714285714285714,0.017173593137301844,0.15476190476190474,0.0078125,0.007169836142240377,0.9275714680201469,0.004983319474453747,0.0007165492838622119,0
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,7,11,27.0,0.14545454545454545,0.02291130818989232,0.2769696969696969,0.0107421875,0.001268744836033143,0.9328872286717623,0.004625531939300284,0.0007922732910779913,0
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,8,5,13.0,0.2,0.03579983687601722,0.2,0.0048828125,0.0019384876995764094,0.81487278766943,0.0026388906205582715,0.0005249217520886568,0
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,9,13,30.0,0.19230769230769232,0.02791725016239857,0.45940170940170943,0.0126953125,0.000120505439620863,0.8277204425166172,0.003692847166687515,0.0007623231777969091,3
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,10,20,47.0,0.3,0.047475841151614094,0.6236842105263163,0.01953125,0.0002032357343597264,0.900067270080981,0.008013438341586273,0.0012170181242719164,1
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,11,41,96.0,0.22682926829268293,0.03438953213644694,0.5284959349593519,0.0400390625,0.0036764625663315144,0.953788673076891,0.017945244176168905,0.0022219841817046524,1
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,12,18,42.0,0.24836601307189543,0.03989566159238178,0.5315904139433554,0.017578125,0.0017367543340955636,0.8971138987276585,0.011451788943535565,0.0011396650959946382,0
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,13,56,126.0,0.13896103896103895,0.020787378189703044,0.4512987012986993,0.0546875,0.03768185130790522,1.0065457074688968,0.016952274442406958,0.0030939530023379627,5
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,14,25,68.0,0.15333333333333332,0.027137661633970963,0.31,0.0244140625,0.024848665314580125,0.8517729769915818,0.002926555602813819,0.00272631517241917,7
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,15,14,31.0,0.4725274725274725,0.06822979299896428,0.7307692307692307,0.013671875,2.6333503526043848e-05,0.8649046990991728,0.01221920915310625,0.0008037464203762611,0
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,16,24,56.0,0.21014492753623187,0.031390537462442906,0.49873188405797103,0.0234375,0.0026079388777851486,0.9448822983988153,0.012450210570531616,0.001433286747969214,0
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,17,27,72.0,0.1623931623931624,0.026615384133591605,0.4862773029439688,0.0263671875,0.006385590495973557,0.9560707478933921,0.009445355394022834,0.0017412652547052778,3
wikivital-mathematics-by-disp_fil-with-alpah_filter0_3,wikivital-mathematics,backbone,18,22,63.0,0.23376623376623376,0.04318408439337103,0.5310245310245317,0.021484375,0.00227026802442629,0.9658642724894072,0.014509531708375328,0.0015809252926550703,0
