dataset,graph_name,strategy,trial,fraction_removed,nodes_remaining,largest_component_ratio,global_efficiency_ratio
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.0,1068,1.0,1.0
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.05,1015,0.949438202247191,0.9065248145308835
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.1,961,0.898876404494382,0.8580149629410053
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.15000000000000002,908,0.849250936329588,0.8170876711837064
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.2,854,0.798689138576779,0.7726866098703666
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.25,801,0.7490636704119851,0.7290608312435463
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.30000000000000004,748,0.6985018726591761,0.6856442431274252
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.35000000000000003,694,0.6441947565543071,0.6313279519286747
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.4,641,0.5917602996254682,0.5778030167326876
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.45,587,0.5393258426966292,0.5200498976872375
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.5,534,0.48408239700374533,0.43874529757090763
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.55,481,0.4157303370786517,0.3403468257796789
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.6000000000000001,427,0.3211610486891386,0.20788117394310981
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.65,374,0.149812734082397,0.05607562723145885
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.7000000000000001,320,0.009363295880149813,0.00962959910611904
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.75,267,0.0028089887640449437,0.003964568417112071
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.8,214,0.0018726591760299626,0.000943092167827509
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.8500000000000001,160,0.0009363295880149813,0.0
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.9,107,0.0009363295880149813,0.0
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,0.9500000000000001,53,0.0009363295880149813,0.0
wikivital-mathematics,wikivital-mathematics,targeted_degree,0,1.0,0,0.0,0.0
wikivital-mathematics,wikivital-mathematics,random,0,0.0,1068,1.0,1.0
wikivital-mathematics,wikivital-mathematics,random,0,0.05,1015,0.950374531835206,0.9993310481770086
wikivital-mathematics,wikivital-mathematics,random,0,0.1,961,0.899812734082397,1.0011936043135607
wikivital-mathematics,wikivital-mathematics,random,0,0.15000000000000002,908,0.850187265917603,0.997779440679383
wikivital-mathematics,wikivital-mathematics,random,0,0.2,854,0.799625468164794,0.9973496675594705
wikivital-mathematics,wikivital-mathematics,random,0,0.25,801,0.75,0.9948228697882323
wikivital-mathematics,wikivital-mathematics,random,0,0.30000000000000004,748,0.700374531835206,0.9920994154300511
wikivital-mathematics,wikivital-mathematics,random,0,0.35000000000000003,694,0.649812734082397,0.9657675615229845
wikivital-mathematics,wikivital-mathematics,random,0,0.4,641,0.599250936329588,0.9458350985255444
wikivital-mathematics,wikivital-mathematics,random,0,0.45,587,0.547752808988764,0.9399605296667471
wikivital-mathematics,wikivital-mathematics,random,0,0.5,534,0.49812734082397003,0.9357346747784674
wikivital-mathematics,wikivital-mathematics,random,0,0.55,481,0.44756554307116103,0.9285942038733256
wikivital-mathematics,wikivital-mathematics,random,0,0.6000000000000001,427,0.3970037453183521,0.9254561933647267
wikivital-mathematics,wikivital-mathematics,random,0,0.65,374,0.34737827715355807,0.9224872397129551
wikivital-mathematics,wikivital-mathematics,random,0,0.7000000000000001,320,0.29681647940074907,0.9160405521821439
wikivital-mathematics,wikivital-mathematics,random,0,0.75,267,0.24625468164794007,0.8985719537279924
wikivital-mathematics,wikivital-mathematics,random,0,0.8,214,0.19662921348314608,0.8465886899344502
wikivital-mathematics,wikivital-mathematics,random,0,0.8500000000000001,160,0.1451310861423221,0.8175457926302528
wikivital-mathematics,wikivital-mathematics,random,0,0.9,107,0.09269662921348315,0.743282522155433
wikivital-mathematics,wikivital-mathematics,random,0,0.9500000000000001,53,0.04588014981273408,0.7552800883313929
wikivital-mathematics,wikivital-mathematics,random,0,1.0,0,0.0,0.0
wikivital-mathematics,wikivital-mathematics,random,1,0.0,1068,1.0,1.0
wikivital-mathematics,wikivital-mathematics,random,1,0.05,1015,0.950374531835206,0.9977471365963119
wikivital-mathematics,wikivital-mathematics,random,1,0.1,961,0.899812734082397,0.9950604233467384
wikivital-mathematics,wikivital-mathematics,random,1,0.15000000000000002,908,0.850187265917603,0.993345563294905
wikivital-mathematics,wikivital-mathematics,random,1,0.2,854,0.799625468164794,0.9886482442095406
wikivital-mathematics,wikivital-mathematics,random,1,0.25,801,0.7490636704119851,0.9736677469287278
wikivital-mathematics,wikivital-mathematics,random,1,0.30000000000000004,748,0.699438202247191,0.9649935915268807
wikivital-mathematics,wikivital-mathematics,random,1,0.35000000000000003,694,0.648876404494382,0.9576363922052975
wikivital-mathematics,wikivital-mathematics,random,1,0.4,641,0.599250936329588,0.9509293432163136
wikivital-mathematics,wikivital-mathematics,random,1,0.45,587,0.5468164794007491,0.9419750740278143
wikivital-mathematics,wikivital-mathematics,random,1,0.5,534,0.49625468164794007,0.9348498584519059
