experiment_name,model,dataset,selection_metric,selected_params,selected_num_completed_seeds,final_num_completed_seeds,timestamp,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_min,test_mae_max,test_mae_n,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_min,test_rmse_max,test_rmse_n,test_mape_mean,test_mape_std,test_mape_ci95_low,test_mape_ci95_high,test_mape_min,test_mape_max,test_mape_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_min,test_smape_max,test_smape_n,test_wape_mean,test_wape_std,test_wape_ci95_low,test_wape_ci95_high,test_wape_min,test_wape_max,test_wape_n,test_loss_normalized_mean,test_loss_normalized_std,test_loss_normalized_ci95_low,test_loss_normalized_ci95_high,test_loss_normalized_min,test_loss_normalized_max,test_loss_normalized_n,num_completed_seeds,val_mae_mean,val_mae_std,val_mae_ci95_low,val_mae_ci95_high,val_mae_min,val_mae_max,val_mae_n,val_rmse_mean,val_rmse_std,val_rmse_ci95_low,val_rmse_ci95_high,val_rmse_min,val_rmse_max,val_rmse_n,val_mape_mean,val_mape_std,val_mape_ci95_low,val_mape_ci95_high,val_mape_min,val_mape_max,val_mape_n,val_smape_mean,val_smape_std,val_smape_ci95_low,val_smape_ci95_high,val_smape_min,val_smape_max,val_smape_n,val_wape_mean,val_wape_std,val_wape_ci95_low,val_wape_ci95_high,val_wape_min,val_wape_max,val_wape_n,val_loss_normalized_mean,val_loss_normalized_std,val_loss_normalized_ci95_low,val_loss_normalized_ci95_high,val_loss_normalized_min,val_loss_normalized_max,val_loss_normalized_n,rank_in_dataset,delta_vs_best_pct,experiment_family,base_dataset,dataset_label,graph_variant,backbone,MAE,RMSE,WAPE,source_md,source_csv
simple_metr-la_STICformer_22_04_2026-17h_33-epoch_30,STICformer,metr-la,val_mae,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T19:40:52.203660,5.997174739837647,0.0,5.997174739837647,5.997174739837647,5.997174739837647,5.997174739837647,1,11.857365608215332,0.0,11.857365608215332,11.857365608215332,11.857365608215332,11.857365608215332,1,17236490240.0,0.0,17236490240.0,17236490240.0,17236490240.0,17236490240.0,1,34.23065185546875,0.0,34.23065185546875,34.23065185546875,34.23065185546875,34.23065185546875,1,11.81959056854248,0.0,11.81959056854248,11.81959056854248,11.81959056854248,11.81959056854248,1,0.3692720033855082,0.0,0.3692720033855082,0.3692720033855082,0.3692720033855082,0.3692720033855082,1,1,5.187530994415283,0.0,5.187530994415283,5.187530994415283,5.187530994415283,5.187530994415283,1,10.798018455505373,0.0,10.798018455505373,10.798018455505373,10.798018455505373,10.798018455505373,1,11997708288.0,0.0,11997708288.0,11997708288.0,11997708288.0,11997708288.0,1,23.09780502319336,0.0,23.09780502319336,23.09780502319336,23.09780502319336,23.09780502319336,1,9.45936107635498,0.0,9.45936107635498,9.45936107635498,9.45936107635498,9.45936107635498,1,0.3058842142225704,0.0,0.3058842142225704,0.3058842142225704,0.3058842142225704,0.3058842142225704,1,1,0.0,original,metr-la,METR-LA,Full,Full,5.997174739837647,11.857365608215332,11.81959056854248,/home/suleimane/master/main/master-main/results/both/md/original_all-datasets_22_04_2026-17h_33-epoch_30_comparison_report.md,/home/suleimane/master/main/master-main/results/both/csv/original_all-datasets_22_04_2026-17h_33-epoch_30_consolidated_experiments.csv
simple_metr-la_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,metr-la,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T19:40:52.203546,6.106078624725342,0.0,6.106078624725342,6.106078624725342,6.106078624725342,6.106078624725342,1,12.02695655822754,0.0,12.02695655822754,12.02695655822754,12.02695655822754,12.02695655822754,1,15742545920.0,0.0,15742545920.0,15742545920.0,15742545920.0,15742545920.0,1,34.6529655456543,0.0,34.6529655456543,34.6529655456543,34.6529655456543,34.6529655456543,1,12.034223556518556,0.0,12.034223556518556,12.034223556518556,12.034223556518556,12.034223556518556,1,0.3798879122309317,0.0,0.3798879122309317,0.3798879122309317,0.3798879122309317,0.3798879122309317,1,1,5.388321399688721,0.0,5.388321399688721,5.388321399688721,5.388321399688721,5.388321399688721,1,11.005603790283203,0.0,11.005603790283203,11.005603790283203,11.005603790283203,11.005603790283203,1,11188715520.0,0.0,11188715520.0,11188715520.0,11188715520.0,11188715520.0,1,23.54511070251465,0.0,23.54511070251465,23.54511070251465,23.54511070251465,23.54511070251465,1,9.825498580932615,0.0,9.825498580932615,9.825498580932615,9.825498580932615,9.825498580932615,1,0.3177467501748388,0.0,0.3177467501748388,0.3177467501748388,0.3177467501748388,0.3177467501748388,1,2,1.8159198224503288,original,metr-la,METR-LA,Full,Full,6.106078624725342,12.02695655822754,12.034223556518556,/home/suleimane/master/main/master-main/results/both/md/original_all-datasets_22_04_2026-17h_33-epoch_30_comparison_report.md,/home/suleimane/master/main/master-main/results/both/csv/original_all-datasets_22_04_2026-17h_33-epoch_30_consolidated_experiments.csv
simple_metr-la_MTGNN_22_04_2026-17h_33-epoch_30,MTGNN,metr-la,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,1,2026-04-22T19:40:52.203605,6.811145305633545,0.0,6.811145305633545,6.811145305633545,6.811145305633545,6.811145305633545,1,12.370655059814451,0.0,12.370655059814451,12.370655059814451,12.370655059814451,12.370655059814451,1,20487247872.0,0.0,20487247872.0,20487247872.0,20487247872.0,20487247872.0,1,35.19700622558594,0.0,35.19700622558594,35.19700622558594,35.19700622558594,35.19700622558594,1,13.423812866210938,0.0,13.423812866210938,13.423812866210938,13.423812866210938,13.423812866210938,1,0.4019484481312961,0.0,0.4019484481312961,0.4019484481312961,0.4019484481312961,0.4019484481312961,1,1,5.849453449249268,0.0,5.849453449249268,5.849453449249268,5.849453449249268,5.849453449249268,1,11.221933364868164,0.0,11.221933364868164,11.221933364868164,11.221933364868164,11.221933364868164,1,13322028032.0,0.0,13322028032.0,13322028032.0,13322028032.0,13322028032.0,1,24.120214462280277,0.0,24.120214462280277,24.120214462280277,24.120214462280277,24.120214462280277,1,10.666363716125488,0.0,10.666363716125488,10.666363716125488,10.666363716125488,10.666363716125488,1,0.3304077972631866,0.0,0.3304077972631866,0.3304077972631866,0.3304077972631866,0.3304077972631866,1,3,13.572567102120717,original,metr-la,METR-LA,Full,Full,6.811145305633545,12.370655059814451,13.423812866210938,/home/suleimane/master/main/master-main/results/both/md/original_all-datasets_22_04_2026-17h_33-epoch_30_comparison_report.md,/home/suleimane/master/main/master-main/results/both/csv/original_all-datasets_22_04_2026-17h_33-epoch_30_consolidated_experiments.csv
simple_pems-bay_STICformer_22_04_2026-17h_33-epoch_30,STICformer,pems-bay,val_mae,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T19:40:52.203486,1.9504725933074951,0.0,1.9504725933074951,1.9504725933074951,1.9504725933074951,1.9504725933074951,1,4.113288879394531,0.0,4.113288879394531,4.113288879394531,4.113288879394531,4.113288879394531,1,112948.703125,0.0,112948.703125,112948.703125,112948.703125,112948.703125,1,3.9226949214935294,0.0,3.9226949214935294,3.9226949214935294,3.9226949214935294,3.9226949214935294,1,3.122687101364136,0.0,3.122687101364136,3.122687101364136,3.122687101364136,3.122687101364136,1,0.1895073184492123,0.0,0.1895073184492123,0.1895073184492123,0.1895073184492123,0.1895073184492123,1,1,2.073707342147827,0.0,2.073707342147827,2.073707342147827,2.073707342147827,2.073707342147827,1,4.363852024078369,0.0,4.363852024078369,4.363852024078369,4.363852024078369,4.363852024078369,1,135731.390625,0.0,135731.390625,135731.390625,135731.390625,135731.390625,1,4.293258666992188,0.0,4.293258666992188,4.293258666992188,4.293258666992188,4.293258666992188,1,3.339040756225586,0.0,3.339040756225586,3.339040756225586,3.339040756225586,3.339040756225586,1,0.215442148614332,0.0,0.215442148614332,0.215442148614332,0.215442148614332,0.215442148614332,1,1,0.0,original,pems-bay,PEMS-BAY,Full,Full,1.9504725933074951,4.113288879394531,3.122687101364136,/home/suleimane/master/main/master-main/results/both/md/original_all-datasets_22_04_2026-17h_33-epoch_30_comparison_report.md,/home/suleimane/master/main/master-main/results/both/csv/original_all-datasets_22_04_2026-17h_33-epoch_30_consolidated_experiments.csv
simple_pems-bay_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,pems-bay,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T19:40:52.203308,2.038779735565185,0.0,2.038779735565185,2.038779735565185,2.038779735565185,2.038779735565185,1,4.29176664352417,0.0,4.29176664352417,4.29176664352417,4.29176664352417,4.29176664352417,1,112180.5078125,0.0,112180.5078125,112180.5078125,112180.5078125,112180.5078125,1,4.121494293212891,0.0,4.121494293212891,4.121494293212891,4.121494293212891,4.121494293212891,1,3.264065742492676,0.0,3.264065742492676,3.264065742492676,3.264065742492676,3.264065742492676,1,0.2063207227131066,0.0,0.2063207227131066,0.2063207227131066,0.2063207227131066,0.2063207227131066,1,1,2.172835350036621,0.0,2.172835350036621,2.172835350036621,2.172835350036621,2.172835350036621,1,4.567534923553467,0.0,4.567534923553467,4.567534923553467,4.567534923553467,4.567534923553467,1,135216.15625,0.0,135216.15625,135216.15625,135216.15625,135216.15625,1,4.499558448791504,0.0,4.499558448791504,4.499558448791504,4.499558448791504,4.499558448791504,1,3.498654365539551,0.0,3.498654365539551,3.498654365539551,3.498654365539551,3.498654365539551,1,0.2356361907112635,0.0,0.2356361907112635,0.2356361907112635,0.2356361907112635,0.2356361907112635,1,2,4.52747413937995,original,pems-bay,PEMS-BAY,Full,Full,2.038779735565185,4.29176664352417,3.264065742492676,/home/suleimane/master/main/master-main/results/both/md/original_all-datasets_22_04_2026-17h_33-epoch_30_comparison_report.md,/home/suleimane/master/main/master-main/results/both/csv/original_all-datasets_22_04_2026-17h_33-epoch_30_consolidated_experiments.csv
simple_pems-bay_MTGNN_22_04_2026-17h_33-epoch_30,MTGNN,pems-bay,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,1,2026-04-22T19:40:52.203419,2.1970810890197754,0.0,2.1970810890197754,2.1970810890197754,2.1970810890197754,2.1970810890197754,1,4.731072425842285,0.0,4.731072425842285,4.731072425842285,4.731072425842285,4.731072425842285,1,111846.75,0.0,111846.75,111846.75,111846.75,111846.75,1,4.472272872924805,0.0,4.472272872924805,4.472272872924805,4.472272872924805,4.472272872924805,1,3.5175046920776367,0.0,3.5175046920776367,3.5175046920776367,3.5175046920776367,3.5175046920776367,1,0.2506965814341156,0.0,0.2506965814341156,0.2506965814341156,0.2506965814341156,0.2506965814341156,1,1,2.3527536392211914,0.0,2.3527536392211914,2.3527536392211914,2.3527536392211914,2.3527536392211914,1,5.031579971313477,0.0,5.031579971313477,5.031579971313477,5.031579971313477,5.031579971313477,1,134245.859375,0.0,134245.859375,134245.859375,134245.859375,134245.859375,1,4.890611171722412,0.0,4.890611171722412,4.890611171722412,4.890611171722412,4.890611171722412,1,3.7883548736572266,0.0,3.7883548736572266,3.7883548736572266,3.7883548736572266,3.7883548736572266,1,0.286117496060356,0.0,0.286117496060356,0.286117496060356,0.286117496060356,0.286117496060356,1,3,12.643525295277104,original,pems-bay,PEMS-BAY,Full,Full,2.1970810890197754,4.731072425842285,3.5175046920776367,/home/suleimane/master/main/master-main/results/both/md/original_all-datasets_22_04_2026-17h_33-epoch_30_comparison_report.md,/home/suleimane/master/main/master-main/results/both/csv/original_all-datasets_22_04_2026-17h_33-epoch_30_consolidated_experiments.csv
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30,STICformer,metr-la-by-disp_fil-with-alpah_filter0_4,val_mae,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-23T00:07:34.656061,5.965633392333984,0.0,5.965633392333984,5.965633392333984,5.965633392333984,5.965633392333984,1,11.858830451965332,0.0,11.858830451965332,11.858830451965332,11.858830451965332,11.858830451965332,1,17378973696.0,0.0,17378973696.0,17378973696.0,17378973696.0,17378973696.0,1,34.11943435668945,0.0,34.11943435668945,34.11943435668945,34.11943435668945,34.11943435668945,1,11.757426261901855,0.0,11.757426261901855,11.757426261901855,11.757426261901855,11.757426261901855,1,0.3693634749120362,0.0,0.3693634749120362,0.3693634749120362,0.3693634749120362,0.3693634749120362,1,1,5.170471668243408,0.0,5.170471668243408,5.170471668243408,5.170471668243408,5.170471668243408,1,10.798554420471191,0.0,10.798554420471191,10.798554420471191,10.798554420471191,10.798554420471191,1,12064176128.0,0.0,12064176128.0,12064176128.0,12064176128.0,12064176128.0,1,23.026987075805664,0.0,23.026987075805664,23.026987075805664,23.026987075805664,23.026987075805664,1,9.42825412750244,0.0,9.42825412750244,9.42825412750244,9.42825412750244,9.42825412750244,1,0.3058989162374044,0.0,0.3058989162374044,0.3058989162374044,0.3058989162374044,0.3058989162374044,1,1,0.0,backbone,metr-la,METR-LA,DF,DF,5.965633392333984,11.858830451965332,11.757426261901855,/home/suleimane/master/main/master-main/results/both/md/backbone_all-datasets_22_04_2026-17h_33-epoch_30_comparison_report.md,/home/suleimane/master/main/master-main/results/both/csv/backbone_all-datasets_22_04_2026-17h_33-epoch_30_consolidated_experiments.csv
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,metr-la-by-disp_fil-with-alpah_filter0_4,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-23T00:07:34.655934,6.334065914154053,0.0,6.334065914154053,6.334065914154053,6.334065914154053,6.334065914154053,1,12.09099006652832,0.0,12.09099006652832,12.09099006652832,12.09099006652832,12.09099006652832,1,18895151104.0,0.0,18895151104.0,18895151104.0,18895151104.0,18895151104.0,1,34.462196350097656,0.0,34.462196350097656,34.462196350097656,34.462196350097656,34.462196350097656,1,12.483555793762209,0.0,12.483555793762209,12.483555793762209,12.483555793762209,12.483555793762209,1,0.3839377259974864,0.0,0.3839377259974864,0.3839377259974864,0.3839377259974864,0.3839377259974864,1,1,5.471973419189453,0.0,5.471973419189453,5.471973419189453,5.471973419189453,5.471973419189453,1,11.01471996307373,0.0,11.01471996307373,11.01471996307373,11.01471996307373,11.01471996307373,1,13018267648.0,0.0,13018267648.0,13018267648.0,13018267648.0,13018267648.0,1,23.372699737548828,0.0,23.372699737548828,23.372699737548828,23.372699737548828,23.372699737548828,1,9.978036880493164,0.0,9.978036880493164,9.978036880493164,9.978036880493164,9.978036880493164,1,0.3182792917729538,0.0,0.3182792917729538,0.3182792917729538,0.3182792917729538,0.3182792917729538,1,2,6.175916245431967,backbone,metr-la,METR-LA,DF,DF,6.334065914154053,12.09099006652832,12.483555793762209,/home/suleimane/master/main/master-main/results/both/md/backbone_all-datasets_22_04_2026-17h_33-epoch_30_comparison_report.md,/home/suleimane/master/main/master-main/results/both/csv/backbone_all-datasets_22_04_2026-17h_33-epoch_30_consolidated_experiments.csv
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30,MTGNN,metr-la-by-disp_fil-with-alpah_filter0_4,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,1,2026-04-23T00:07:34.656014,6.825336456298828,0.0,6.825336456298828,6.825336456298828,6.825336456298828,6.825336456298828,1,12.384025573730469,0.0,12.384025573730469,12.384025573730469,12.384025573730469,12.384025573730469,1,20801755136.0,0.0,20801755136.0,20801755136.0,20801755136.0,20801755136.0,1,35.15635299682617,0.0,35.15635299682617,35.15635299682617,35.15635299682617,35.15635299682617,1,13.451780319213867,0.0,13.451780319213867,13.451780319213867,13.451780319213867,13.451780319213867,1,0.4028184662146546,0.0,0.4028184662146546,0.4028184662146546,0.4028184662146546,0.4028184662146546,1,1,5.856993675231934,0.0,5.856993675231934,5.856993675231934,5.856993675231934,5.856993675231934,1,11.234575271606444,0.0,11.234575271606444,11.234575271606444,11.234575271606444,11.234575271606444,1,13542228992.0,0.0,13542228992.0,13542228992.0,13542228992.0,13542228992.0,1,24.08949851989746,0.0,24.08949851989746,24.08949851989746,24.08949851989746,24.08949851989746,1,10.680112838745115,0.0,10.680112838745115,10.680112838745115,10.680112838745115,10.680112838745115,1,0.3311470859100885,0.0,0.3311470859100885,0.3311470859100885,0.3311470859100885,0.3311470859100885,1,3,14.41092684424068,backbone,metr-la,METR-LA,DF,DF,6.825336456298828,12.384025573730469,13.451780319213867,/home/suleimane/master/main/master-main/results/both/md/backbone_all-datasets_22_04_2026-17h_33-epoch_30_comparison_report.md,/home/suleimane/master/main/master-main/results/both/csv/backbone_all-datasets_22_04_2026-17h_33-epoch_30_consolidated_experiments.csv
simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30,STICformer,metr-la-by-high_sal-with-alpah_filter0_4,val_mae,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-23T00:07:34.656318,6.086365699768066,0.0,6.086365699768066,6.086365699768066,6.086365699768066,6.086365699768066,1,11.91264820098877,0.0,11.91264820098877,11.91264820098877,11.91264820098877,11.91264820098877,1,20176918528.0,0.0,20176918528.0,20176918528.0,20176918528.0,20176918528.0,1,33.65101623535156,0.0,33.65101623535156,33.65101623535156,33.65101623535156,33.65101623535156,1,11.963836669921877,0.0,11.963836669921877,11.963836669921877,11.963836669921877,11.963836669921877,1,0.3788484363494632,0.0,0.3788484363494632,0.3788484363494632,0.3788484363494632,0.3788484363494632,1,1,5.138190746307373,0.0,5.138190746307373,5.138190746307373,5.138190746307373,5.138190746307373,1,10.73631763458252,0.0,10.73631763458252,10.73631763458252,10.73631763458252,10.73631763458252,1,13132784640.0,0.0,13132784640.0,13132784640.0,13132784640.0,13132784640.0,1,22.088232040405277,0.0,22.088232040405277,22.088232040405277,22.088232040405277,22.088232040405277,1,9.32201099395752,0.0,9.32201099395752,9.32201099395752,9.32201099395752,9.32201099395752,1,0.3073447894687964,0.0,0.3073447894687964,0.3073447894687964,0.3073447894687964,0.3073447894687964,1,1,0.0,backbone,metr-la,METR-LA,HSS,HSS,6.086365699768066,11.91264820098877,11.963836669921877,/home/suleimane/master/main/master-main/results/both/md/backbone_all-datasets_22_04_2026-17h_33-epoch_30_comparison_report.md,/home/suleimane/master/main/master-main/results/both/csv/backbone_all-datasets_22_04_2026-17h_33-epoch_30_consolidated_experiments.csv
