experiment_name,model,dataset,params,num_completed_seeds,seeds,val_mae_mean,val_mae_std,val_mae_ci95_low,val_mae_ci95_high,val_mae_min,val_mae_max,val_mae_n,val_rmse_mean,val_rmse_std,val_rmse_ci95_low,val_rmse_ci95_high,val_rmse_min,val_rmse_max,val_rmse_n,val_mape_mean,val_mape_std,val_mape_ci95_low,val_mape_ci95_high,val_mape_min,val_mape_max,val_mape_n,val_smape_mean,val_smape_std,val_smape_ci95_low,val_smape_ci95_high,val_smape_min,val_smape_max,val_smape_n,val_wape_mean,val_wape_std,val_wape_ci95_low,val_wape_ci95_high,val_wape_min,val_wape_max,val_wape_n,val_loss_normalized_mean,val_loss_normalized_std,val_loss_normalized_ci95_low,val_loss_normalized_ci95_high,val_loss_normalized_min,val_loss_normalized_max,val_loss_normalized_n
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,metr-la-by-disp_fil-with-alpah_filter0_4,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,[42],5.471973419189453,0.0,5.471973419189453,5.471973419189453,5.471973419189453,5.471973419189453,1,11.01471996307373,0.0,11.01471996307373,11.01471996307373,11.01471996307373,11.01471996307373,1,13018267648.0,0.0,13018267648.0,13018267648.0,13018267648.0,13018267648.0,1,23.372699737548828,0.0,23.372699737548828,23.372699737548828,23.372699737548828,23.372699737548828,1,9.978036880493164,0.0,9.978036880493164,9.978036880493164,9.978036880493164,9.978036880493164,1,0.31827929177295383,0.0,0.31827929177295383,0.31827929177295383,0.31827929177295383,0.31827929177295383,1
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30,MTGNN,metr-la-by-disp_fil-with-alpah_filter0_4,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,[42],5.856993675231934,0.0,5.856993675231934,5.856993675231934,5.856993675231934,5.856993675231934,1,11.234575271606445,0.0,11.234575271606445,11.234575271606445,11.234575271606445,11.234575271606445,1,13542228992.0,0.0,13542228992.0,13542228992.0,13542228992.0,13542228992.0,1,24.08949851989746,0.0,24.08949851989746,24.08949851989746,24.08949851989746,24.08949851989746,1,10.680112838745117,0.0,10.680112838745117,10.680112838745117,10.680112838745117,10.680112838745117,1,0.33114708591008857,0.0,0.33114708591008857,0.33114708591008857,0.33114708591008857,0.33114708591008857,1
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30,STICformer,metr-la-by-disp_fil-with-alpah_filter0_4,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,[42],5.170471668243408,0.0,5.170471668243408,5.170471668243408,5.170471668243408,5.170471668243408,1,10.798554420471191,0.0,10.798554420471191,10.798554420471191,10.798554420471191,10.798554420471191,1,12064176128.0,0.0,12064176128.0,12064176128.0,12064176128.0,12064176128.0,1,23.026987075805664,0.0,23.026987075805664,23.026987075805664,23.026987075805664,23.026987075805664,1,9.428254127502441,0.0,9.428254127502441,9.428254127502441,9.428254127502441,9.428254127502441,1,0.3058989162374044,0.0,0.3058989162374044,0.3058989162374044,0.3058989162374044,0.3058989162374044,1
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,metr-la-by-nois_corr-with-alpah_filter0_4,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,[42],5.340566158294678,0.0,5.340566158294678,5.340566158294678,5.340566158294678,5.340566158294678,1,10.993570327758789,0.0,10.993570327758789,10.993570327758789,10.993570327758789,10.993570327758789,1,12100016128.0,0.0,12100016128.0,12100016128.0,12100016128.0,12100016128.0,1,23.30013084411621,0.0,23.30013084411621,23.30013084411621,23.30013084411621,23.30013084411621,1,9.738417625427246,0.0,9.738417625427246,9.738417625427246,9.738417625427246,9.738417625427246,1,0.3170562885771288,0.0,0.3170562885771288,0.3170562885771288,0.3170562885771288,0.3170562885771288,1
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30,MTGNN,metr-la-by-nois_corr-with-alpah_filter0_4,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,[42],5.82452917098999,0.0,5.82452917098999,5.82452917098999,5.82452917098999,5.82452917098999,1,11.224080085754395,0.0,11.224080085754395,11.224080085754395,11.224080085754395,11.224080085754395,1,13327461376.0,0.0,13327461376.0,13327461376.0,13327461376.0,13327461376.0,1,24.06298828125,0.0,24.06298828125,24.06298828125,24.06298828125,24.06298828125,1,10.620915412902832,0.0,10.620915412902832,10.620915412902832,10.620915412902832,10.620915412902832,1,0.3305297803447068,0.0,0.3305297803447068,0.3305297803447068,0.3305297803447068,0.3305297803447068,1
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30,STICformer,metr-la-by-nois_corr-with-alpah_filter0_4,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,[42],5.129249095916748,0.0,5.129249095916748,5.129249095916748,5.129249095916748,5.129249095916748,1,10.773576736450195,0.0,10.773576736450195,10.773576736450195,10.773576736450195,10.773576736450195,1,12179635200.0,0.0,12179635200.0,12179635200.0,12179635200.0,12179635200.0,1,22.921592712402344,0.0,22.921592712402344,22.921592712402344,22.921592712402344,22.921592712402344,1,9.3530855178833,0.0,9.3530855178833,9.3530855178833,9.3530855178833,9.3530855178833,1,0.3044953107416073,0.0,0.3044953107416073,0.3044953107416073,0.3044953107416073,0.3044953107416073,1
simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,metr-la-by-high_sal-with-alpah_filter0_4,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,[42],5.426704406738281,0.0,5.426704406738281,5.426704406738281,5.426704406738281,5.426704406738281,1,10.941603660583496,0.0,10.941603660583496,10.941603660583496,10.941603660583496,10.941603660583496,1,11590106112.0,0.0,11590106112.0,11590106112.0,11590106112.0,11590106112.0,1,22.961626052856445,0.0,22.961626052856445,22.961626052856445,22.961626052856445,22.961626052856445,1,9.845449447631836,0.0,9.845449447631836,9.845449447631836,9.845449447631836,9.845449447631836,1,0.31918477932008626,0.0,0.31918477932008626,0.31918477932008626,0.31918477932008626,0.31918477932008626,1
simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30,MTGNN,metr-la-by-high_sal-with-alpah_filter0_4,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,[42],6.066273212432861,0.0,6.066273212432861,6.066273212432861,6.066273212432861,6.066273212432861,1,11.127449989318848,0.0,11.127449989318848,11.127449989318848,11.127449989318848,11.127449989318848,1,13072542720.0,0.0,13072542720.0,13072542720.0,13072542720.0,13072542720.0,1,23.809772491455078,0.0,23.809772491455078,23.809772491455078,23.809772491455078,23.809772491455078,1,11.005793571472168,0.0,11.005793571472168,11.005793571472168,11.005793571472168,11.005793571472168,1,0.3302007419901474,0.0,0.3302007419901474,0.3302007419901474,0.3302007419901474,0.3302007419901474,1
simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30,STICformer,metr-la-by-high_sal-with-alpah_filter0_4,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,[42],5.138190746307373,0.0,5.138190746307373,5.138190746307373,5.138190746307373,5.138190746307373,1,10.73631763458252,0.0,10.73631763458252,10.73631763458252,10.73631763458252,10.73631763458252,1,13132784640.0,0.0,13132784640.0,13132784640.0,13132784640.0,13132784640.0,1,22.088232040405273,0.0,22.088232040405273,22.088232040405273,22.088232040405273,22.088232040405273,1,9.32201099395752,0.0,9.32201099395752,9.32201099395752,9.32201099395752,9.32201099395752,1,0.30734478946879645,0.0,0.30734478946879645,0.30734478946879645,0.30734478946879645,0.30734478946879645,1
simple_backbone_pems-bay-by-disp_fil-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,pems-bay-by-disp_fil-with-alpah_filter0_4,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,[42],2.3065967559814453,0.0,2.3065967559814453,2.3065967559814453,2.3065967559814453,2.3065967559814453,1,4.83975887298584,0.0,4.83975887298584,4.83975887298584,4.83975887298584,4.83975887298584,1,134727.765625,0.0,134727.765625,134727.765625,134727.765625,134727.765625,1,4.7783966064453125,0.0,4.7783966064453125,4.7783966064453125,4.7783966064453125,4.7783966064453125,1,3.714034080505371,0.0,3.714034080505371,3.714034080505371,3.714034080505371,3.714034080505371,1,0.2647378290746292,0.0,0.2647378290746292,0.2647378290746292,0.2647378290746292,0.2647378290746292,1
