horizon,mae,rmse,mape
1,4.423223972320557,8.02735424041748,11839098880.0
2,4.902529239654541,9.115217208862305,11735096320.0
3,5.679771423339844,10.12253475189209,12685045760.0
4,5.797137260437012,10.93569564819336,16285452288.0
5,6.235794544219971,11.595358848571777,17464320000.0
6,7.0473246574401855,12.2783784866333,19701254144.0
7,7.436972618103027,12.873779296875,21075185664.0
8,7.684802532196045,13.374532699584961,22464686080.0
9,8.267817497253418,13.865478515625,25217138688.0
10,8.57254409790039,14.264090538024902,26577311744.0
11,8.880851745605469,14.619230270385742,27048503296.0
12,9.317070960998535,14.996586799621582,28194041856.0
