horizon,mae,rmse,mape
1,3.6562626361846924,6.84552526473999,7602323968.0
2,4.482125759124756,8.528360366821289,9935383552.0
3,5.156064033508301,9.726524353027344,13841808384.0
4,5.771621227264404,10.660831451416016,15053021184.0
5,6.2736735343933105,11.543002128601074,18212448256.0
6,6.887444972991943,12.337756156921387,20941015040.0
7,7.273845672607422,12.9785737991333,22697445376.0
8,7.74935245513916,13.62813663482666,25614354432.0
9,8.201420783996582,14.190225601196289,27668582400.0
10,8.515157699584961,14.565948486328125,27837292544.0
11,8.747169494628906,14.936487197875977,28739514368.0
12,9.1898832321167,15.370664596557617,31477839872.0
