horizon,mae,rmse,mape
1,1.0243165493011475,1.8329836130142212,111559.9140625
2,1.2936584949493408,2.465808868408203,111432.0078125
3,1.5129749774932861,3.005493402481079,111736.5859375
4,1.688984990119934,3.440234422683716,111942.9921875
5,1.844024419784546,3.7948873043060303,111974.484375
6,1.9797229766845703,4.09210205078125,111879.7109375
7,2.1032371520996094,4.350499153137207,111890.640625
8,2.2149288654327393,4.576391220092773,111828.8828125
9,2.3200676441192627,4.778916835784912,111956.4921875
10,2.4214913845062256,4.9675612449646,111960.53125
11,2.5148255825042725,5.134494304656982,111932.3359375
12,2.6072170734405518,5.298717021942139,111879.0
