node,mae,rmse,mape
0,3.160370349884033,6.7419233322143555,10.877676010131836
1,3.157512903213501,5.87868595123291,6.8489990234375
2,2.363661527633667,5.944155216217041,63926636.0
3,3.657508373260498,7.470558166503906,64089588.0
4,1.9388173818588257,4.3629584312438965,65031888.0
5,2.448220729827881,5.202897071838379,64348244.0
6,3.9842848777770996,7.818159103393555,19.24176788330078
7,2.404503345489502,5.608543395996094,7.197874069213867
8,2.419451951980591,4.026183128356934,65146536.0
9,1.4917598962783813,3.075133800506592,64308220.0
10,2.3913140296936035,5.414645195007324,6.370349884033203
11,3.0074734687805176,6.262328624725342,8.659680366516113
12,1.0326498746871948,2.5234756469726562,1.8686201572418213
13,1.9812499284744263,4.315377235412598,62287780.0
14,2.632474660873413,5.614063262939453,6.52940559387207
15,1.4449348449707031,2.6721794605255127,2.375255584716797
16,2.8693740367889404,5.237300395965576,63193844.0
17,1.1544793844223022,1.7723240852355957,1.7240163087844849
18,2.4876039028167725,5.481932640075684,65353876.0
19,3.0900371074676514,5.741996765136719,65150236.0
20,1.1056008338928223,1.9059234857559204,65599392.0
21,2.4521710872650146,4.390125751495361,5.2285590171813965
22,1.2138419151306152,1.9304852485656738,64228776.0
23,2.2513365745544434,4.956930637359619,6.015255451202393
24,3.387587070465088,8.25478744506836,65864776.0
25,1.6542359590530396,3.864569664001465,3.278984546661377
26,2.484004020690918,4.520042896270752,4.92243766784668
27,3.030182361602783,5.622444152832031,67049812.0
28,2.6753900051116943,5.302926063537598,61100248.0
29,2.5857889652252197,5.451207160949707,64769612.0
30,2.6762585639953613,5.004060745239258,63207236.0
31,3.5752017498016357,7.276516437530518,58425532.0
32,2.749315023422241,5.930933952331543,64074268.0
33,1.2917139530181885,3.213069200515747,65731736.0
34,2.458298683166504,5.433663845062256,64733464.0
35,2.165865421295166,3.826598644256592,4.400773525238037
36,1.1637976169586182,2.3489489555358887,61961848.0
37,1.9937000274658203,4.581182956695557,4.269522666931152
38,2.2269487380981445,5.069601058959961,4.967968463897705
39,2.35640287399292,4.752185344696045,5.722501277923584
40,3.571722984313965,7.770065784454346,19.34433937072754
41,3.2097890377044678,6.878172397613525,67678792.0
42,2.9400665760040283,6.760144233703613,7.416041851043701
43,2.256012439727783,5.183398723602295,64342064.0
44,2.485581874847412,5.684396266937256,64337436.0
45,3.272712230682373,6.616821765899658,7.960411071777344
46,1.1801201105117798,2.5316519737243652,64946756.0
47,1.5037251710891724,2.55725359916687,2.6653380393981934
48,2.472160577774048,5.696030139923096,7.469452381134033
49,2.983179807662964,6.743219375610352,65249580.0
50,1.824677586555481,4.299588680267334,4.370522499084473
51,1.548486351966858,3.3199424743652344,64499120.0
52,2.4229376316070557,4.069574356079102,4.62323522567749
53,1.8492615222930908,3.293886184692383,3.096615791320801
54,3.0304458141326904,6.440215587615967,65897864.0
55,2.6333935260772705,6.5037102699279785,8.401660919189453
56,3.2054970264434814,6.463409900665283,65599344.0
57,3.2190451622009277,7.20154333114624,11.577604293823242
58,1.9558677673339844,4.334902286529541,4.46549129486084
59,1.126815915107727,1.9120620489120483,61949292.0
60,3.3366894721984863,7.38531494140625,64451092.0
61,3.4276671409606934,7.098625183105469,10.136576652526855
62,2.114734172821045,4.669599533081055,63657024.0
63,3.380645751953125,7.618598937988281,64594300.0
64,3.0264196395874023,6.844872951507568,9.60364818572998
65,2.3211116790771484,5.2897257804870605,6.62942361831665
66,2.3790555000305176,5.24617338180542,65411280.0
67,2.363628387451172,4.4993391036987305,5.188531875610352
68,2.215923309326172,3.473356246948242,3.5922513008117676
69,1.5240974426269531,3.3016159534454346,62617392.0
70,2.240187644958496,4.130910396575928,66194248.0
71,2.0295186042785645,4.794454097747803,4.492904186248779
72,2.756514310836792,5.720622539520264,61439744.0
73,2.40209698677063,5.4019083976745605,6.066424369812012
74,2.4412081241607666,5.744121551513672,64381580.0
75,2.637213706970215,5.491341590881348,6.409361362457275
76,2.5832855701446533,6.311631202697754,8.507564544677734
77,3.5887341499328613,7.509255409240723,67684800.0
78,1.6193724870681763,3.5033175945281982,2.9614369869232178
79,0.7887987494468689,1.373854637145996,1.236457109451294
80,2.604245185852051,5.673418998718262,6.2784423828125
81,2.6495959758758545,6.20956563949585,64192212.0
82,2.5824756622314453,6.151099681854248,8.700163841247559
83,3.489560127258301,6.395228862762451,60712180.0
84,1.8196070194244385,3.6427135467529297,60464676.0
85,0.394199013710022,1.0435339212417603,64617612.0
86,2.9166574478149414,6.3796539306640625,65346876.0
87,2.012786388397217,3.4293391704559326,3.925408363342285
88,3.475972890853882,6.7250542640686035,65020424.0
89,1.8603802919387817,4.585826873779297,4.331460952758789
90,1.7293295860290527,4.593738079071045,4.25911283493042
91,1.9718817472457886,4.275250434875488,3.9722044467926025
92,1.367102861404419,2.5770187377929688,64855380.0
93,2.196449041366577,4.308934688568115,63329532.0
94,2.5349719524383545,6.190479755401611,8.289981842041016
95,2.3504176139831543,5.26685094833374,64430044.0
96,2.0919413566589355,4.682166576385498,4.953263759613037
97,1.899482250213623,3.569634199142456,3.4144134521484375
98,2.331084966659546,4.2250165939331055,4.758544921875
99,3.3341259956359863,5.346703052520752,6.871880531311035
100,5.331124305725098,7.484346389770508,52362284.0
101,3.57724928855896,6.671743392944336,64330220.0
102,2.799497365951538,4.824175834655762,66866400.0
103,2.2121944427490234,4.645350933074951,4.399428367614746
104,3.4048659801483154,5.931807994842529,8.393333435058594
105,1.3987385034561157,2.715667486190796,2.400733709335327
106,2.1191744804382324,4.634454727172852,5.284573078155518
107,5.67689323425293,7.917567729949951,64050488.0
108,1.8394501209259033,4.141390800476074,64296200.0
109,1.8200010061264038,4.123826026916504,3.601922035217285
110,1.537442684173584,3.15415620803833,65254020.0
111,1.5765020847320557,3.6527721881866455,65127480.0
112,1.69070303440094,3.1841137409210205,2.7548797130584717
113,2.2942535877227783,4.565100193023682,4.570426940917969
114,1.3643321990966797,2.51623272895813,64815056.0
115,3.212292432785034,6.359030246734619,7.431778430938721
116,2.9211955070495605,6.217462062835693,61804632.0
117,2.267864227294922,4.049111366271973,65516012.0
118,1.3937209844589233,2.400204658508301,64965448.0
119,1.5560511350631714,3.3726582527160645,61550832.0
120,2.0935604572296143,4.208882808685303,65786756.0
121,1.8925787210464478,4.767345428466797,65521400.0
122,4.3023200035095215,6.8209404945373535,8.896488189697266
123,2.1271181106567383,4.063491344451904,3.7785391807556152
124,2.4174325466156006,4.400769233703613,5.031926155090332
125,0.5348670482635498,0.8213580846786499,0.8153875470161438
