horizon,mae,rmse,mape
1,1.0136008262634277,1.804405927658081,40013808.0
2,1.283944010734558,2.4469292163848877,39973932.0
3,1.4948807954788208,2.992535352706909,40090500.0
4,1.6658216714859009,3.4349944591522217,40178308.0
5,1.810024380683899,3.7941689491271973,40232008.0
6,1.9381464719772339,4.095493316650391,40214356.0
7,2.0500593185424805,4.353855133056641,40238856.0
8,2.1582560539245605,4.583334922790527,40222468.0
9,2.2539899349212646,4.786055564880371,40255808.0
10,2.3463873863220215,4.967581272125244,40277136.0
11,2.428032875061035,5.137101650238037,40271076.0
12,2.5156311988830566,5.305420398712158,40229888.0
