horizon,mae,rmse,mape
1,1.2292896509170532,2.2673115730285645,112510.5234375
2,1.4629499912261963,2.8212194442749023,112495.796875
3,1.6555911302566528,3.296947956085205,112649.09375
4,1.8162955045700073,3.6969666481018066,112795.765625
5,1.9636059999465942,4.040945053100586,112893.703125
6,2.096097469329834,4.338881015777588,112776.9921875
7,2.219007730484009,4.603206634521484,112820.21875
8,2.3311755657196045,4.8394036293029785,112797.5234375
9,2.4352660179138184,5.052192687988281,112892.4453125
10,2.534144163131714,5.2441725730896,112821.375
11,2.629671096801758,5.423856735229492,112759.109375
12,2.721008777618408,5.594149112701416,112666.8125
