horizon,mae,rmse,mape
1,1.082170009613037,2.044341802597046,111523.7578125
2,1.3987836837768555,2.7919440269470215,111469.796875
3,1.6649141311645508,3.420935869216919,111613.3671875
4,1.8741682767868042,3.9438767433166504,111957.796875
5,2.0706706047058105,4.384453296661377,112083.7890625
6,2.2520570755004883,4.754698753356934,111925.5390625
7,2.4236230850219727,5.0895819664001465,111849.125
8,2.5939321517944336,5.389969825744629,111704.2109375
9,2.744710683822632,5.662362575531006,111846.21875
10,2.897958993911743,5.912201881408691,111838.546875
11,3.0388503074645996,6.144798755645752,111806.7265625
12,3.1797971725463867,6.361989974975586,111808.828125
