horizon,mae,rmse,mape
1,3.6437947750091553,6.841796875,7236049408.0
2,4.449169158935547,8.521332740783691,9469300736.0
3,5.145991802215576,9.71933364868164,13655001088.0
4,5.754435062408447,10.652666091918945,14725220352.0
5,6.247622489929199,11.525711059570312,17726906368.0
6,6.87420654296875,12.324294090270996,20569780224.0
7,7.262641429901123,12.96716594696045,22429454336.0
8,7.723682880401611,13.606761932373047,25234477056.0
9,8.192429542541504,14.171943664550781,27361945600.0
10,8.521218299865723,14.556079864501953,27741200384.0
11,8.739407539367676,14.924418449401855,28554115072.0
12,9.179162979125977,15.34754467010498,31143587840.0
