horizon,mae,rmse,mape
1,3.289348840713501,6.655152797698975,7633432576.0
2,3.942434549331665,8.248015403747559,9953954816.0
3,4.518626689910889,9.38245964050293,12042508288.0
4,5.005555152893066,10.305205345153809,13587757056.0
5,5.479515552520752,11.122688293457031,15255437312.0
6,5.940290451049805,11.828789710998535,16919904256.0
7,6.359114170074463,12.43843936920166,18434684928.0
8,6.766477584838867,12.99668025970459,20173461504.0
9,7.172069072723389,13.478959083557129,21519362048.0
10,7.543593406677246,13.900335311889648,22824529920.0
11,7.819700241088867,14.27697467803955,23631251456.0
12,8.12943172454834,14.649889945983887,24861536256.0
