graph_name,dataset,role,node,community_id,community_size
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,81,0,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,86,0,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,158,0,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,181,0,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,146,0,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,131,0,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,172,0,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,9,0,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,180,0,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,75,1,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,47,1,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,141,1,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,63,1,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,71,1,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,69,1,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,60,1,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,113,1,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,72,1,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,58,2,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,147,2,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,79,2,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,101,2,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,112,2,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,109,2,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,49,2,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,51,2,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,78,2,9
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,84,3,6
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,8,3,6
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,14,3,6
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,185,3,6
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,59,3,6
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,151,3,6
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,191,4,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,12,4,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,33,4,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,166,4,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,138,4,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,62,5,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,13,5,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,116,5,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,140,5,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,117,5,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,182,6,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,89,6,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,34,6,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,186,6,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,104,6,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,11,7,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,126,7,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,46,7,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,189,7,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,92,7,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,175,8,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,154,8,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,57,8,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,97,8,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,94,8,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,99,9,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,31,9,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,156,9,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,149,9,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,10,9,5
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,132,10,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,168,10,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,171,10,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,24,10,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,50,11,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,200,11,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,21,11,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,121,11,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,66,12,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,35,12,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,18,12,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,105,12,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,83,13,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,90,13,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,122,13,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,176,13,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,20,14,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,96,14,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,155,14,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,160,14,4
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,153,15,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,177,15,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,7,15,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,163,16,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,32,16,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,206,16,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,118,17,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,0,17,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,36,17,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,201,18,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,110,18,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,53,18,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,120,19,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,56,19,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,139,19,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,76,20,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,43,20,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,197,20,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,5,21,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,91,21,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,192,21,3
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,107,22,2
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,28,22,2
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,152,23,2
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,44,23,2
