graph_name,dataset,role,node,degree,strength,clustering,weighted_clustering,local_efficiency,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,community_id
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,0,10,5.272931724786758,0.5333333333333333,0.2893211613852997,0.7592592592592592,0.04854368932038834,0.07170258110348093,0.07986144612137676,0.00018104648986768502,0.0052555781461305455,2
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,1,11,6.121888488531113,0.509090909090909,0.2773983449708256,0.7424242424242423,0.05339805825242718,0.0042150130239166465,0.06783818690647433,0.00021956506114257602,0.006267577614047767,1
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,2,11,5.5493346601724625,0.41818181818181815,0.21691929822161785,0.7,0.05339805825242718,0.007577551503670376,0.06824703622407134,0.00011833554402342484,0.00573939775596416,1
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,3,10,5.575497642159462,0.5111111111111111,0.2763855912610111,0.7555555555555555,0.04854368932038834,0.0036466966611413687,0.06775027057609305,0.0677888224054585,0.00472336847328438,0
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,4,11,6.173965662717819,0.4909090909090909,0.25621976318392786,0.7393939393939394,0.05339805825242718,0.023158891783092588,0.06981014695594917,0.06041221465421638,0.005278990710061127,0
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,5,12,5.98156513273716,0.5,0.24101037513027218,0.732323232323232,0.058252427184466014,0.05370589628226379,0.06830767792759881,0.055676009442956385,0.005189108091432893,0
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,6,11,3.701613664627075,0.5272727272727272,0.18542704840163315,0.7606060606060606,0.05339805825242718,0.005162206961875444,0.06190383191375953,0.013468833354016982,0.003922344797506715,0
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,7,12,5.881621077656746,0.3181818181818182,0.15939470639243022,0.6325757575757576,0.058252427184466014,0.05806298839687426,0.07008519419939918,6.647954903418877e-05,0.006379447608107189,1
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,8,6,3.6210693940520287,0.8,0.45772273901385474,0.9,0.029126213592233007,0.0,0.04657538675079818,8.965789159214862e-06,0.004370204696016673,3
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,9,8,3.099916733801365,0.5714285714285714,0.25096307348529007,0.7797619047619048,0.038834951456310676,0.0,0.05555701976519197,3.099810448444557e-05,0.0033647098744346233,3
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,10,9,3.744867265224457,0.4166666666666667,0.16648126335202934,0.5925925925925926,0.04368932038834951,0.03769831873076012,0.07501232757633851,0.0021183842214096893,0.0047929108781969345,5
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,11,12,5.178046062588692,0.22727272727272727,0.10572233933041816,0.4356060606060606,0.058252427184466014,0.07624911200568317,0.06684922450189615,1.825243394049633e-05,0.005997042042480542,1
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,12,11,5.668204560875893,0.38181818181818183,0.2062061724053729,0.6515151515151513,0.05339805825242718,0.08240587260241534,0.07030346139137224,0.1299475497083458,0.004418800738437902,0
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,13,14,6.609376609325409,0.3626373626373626,0.1892808140861063,0.584249084249084,0.06796116504854369,0.1471465782618991,0.08193034575952306,0.00010888872180458837,0.006749309271240469,2
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,14,8,4.830077260732651,0.5714285714285714,0.3596740633152516,0.7857142857142857,0.038834951456310676,0.0001894387875917594,0.049378216868314735,1.931296692469956e-05,0.0053327060257983075,3
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,15,14,6.925538003444672,0.5274725274725275,0.23642798823184144,0.7619047619047619,0.06796116504854369,0.017854605730523325,0.06956851495478336,0.060307970830886015,0.005910383460523938,0
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,16,17,5.55587761849165,0.3161764705882353,0.10716530532970941,0.6102941176470588,0.08252427184466019,0.01302391664693346,0.06777167389059834,0.012578489222677456,0.005841202233586462,0
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,17,10,6.586906522512436,0.5555555555555556,0.3656001231172989,0.7777777777777778,0.04854368932038834,0.01605493724840161,0.06833090661067934,0.14161082356485205,0.00507056088616225,0
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,18,5,2.2595233768224716,0.7,0.30112549007858097,0.85,0.02427184466019417,0.0,0.035246912116629,6.648641016343482e-09,0.005142328988494636,6
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,19,9,5.8419850170612335,0.6388888888888888,0.3817235689105837,0.8194444444444444,0.04368932038834951,0.0037414160549372483,0.07360188654808389,0.053287348187648555,0.004782019034409569,5
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,20,9,4.987454891204834,0.6111111111111112,0.3285490363819252,0.8055555555555556,0.04368932038834951,0.0592943405162207,0.0739928548365664,0.05040307223535684,0.00416246542490245,5
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,21,5,2.949755072593689,0.8,0.3994490880410786,0.9,0.02427184466019417,0.00033151787828557895,0.036345185603028664,5.85385478975714e-09,0.0065058910364009705,6
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,22,12,6.583483994007111,0.5303030303030303,0.2923153032295537,0.7474747474747472,0.058252427184466014,0.05754203173099692,0.07524771433890047,0.047970186324187314,0.005397886247468609,5
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,23,5,2.1104773432016373,0.6,0.21299295696041515,0.8,0.02427184466019417,0.0,0.05001863248693778,0.0006467675843012498,0.003399949861154488,0
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,24,9,5.582355856895447,0.4722222222222222,0.29744082539060895,0.7083333333333334,0.04368932038834951,0.06227800142079091,0.07721853401293285,4.740010247946671e-05,0.005577048379352622,2
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,25,7,2.907084636390209,0.47619047619047616,0.20550107838858964,0.7222222222222222,0.03398058252427184,0.0005683163627752783,0.0705312474477885,3.400289850706589e-05,0.003840964785999188,1
metr-la-by-nois_corr-with-alpah_filter0_3,metr-la,backbone,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2381485353028834e-49,0.0007276255154014069,7
