graph_name,dataset,role,source,target,path_length
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,4,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,41,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,72,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,97,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,226,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,227,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,313,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,26,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,68,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,82,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,200,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,201,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,203,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,205,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,217,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,254,1
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,202,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,204,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,206,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,207,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,6,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,20,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,53,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,99,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,312,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,50,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,58,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,73,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,237,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,8,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,43,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,63,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,88,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,235,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,236,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,9,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,31,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,56,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,55,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,84,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,219,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,38,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,208,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,314,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,315,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,316,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,317,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,318,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,210,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,24,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,215,2
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,209,3
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,319,3
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,257,3
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,310,3
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,321,3
pems-bay-by-disp_fil-with-alpah_filter0_8,pems-bay,backbone,2,323,3
