graph_name,dataset,role,source,target,path_length
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,98,1
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,94,2
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,67,3
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,69,3
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,33,3
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,238,3
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,52,4
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,228,4
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,240,4
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,96,4
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,35,4
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,237,5
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,81,5
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,7,5
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,71,5
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,29,6
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,85,7
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,32,7
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,239,7
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,306,8
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,296,8
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,293,9
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,305,10
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,288,10
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,27,11
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,251,12
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,45,13
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,93,13
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,221,13
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,291,13
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,30,14
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,55,14
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,79,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,250,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,23,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,64,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,26,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,224,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,247,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,248,15
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,320,16
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,49,16
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,31,16
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,219,17
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,223,18
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,40,18
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,218,18
pems-bay-by-high_sal-with-alpah_filter0_3,pems-bay,backbone,21,61,19
