horizon,mae,rmse,mape
1,3.8108458518981934,7.335326671600342,10294153216.0
2,4.3064494132995605,8.630524635314941,11656676352.0
3,4.947239398956299,9.752496719360352,14971844608.0
4,5.450725078582764,10.567900657653809,16064719872.0
5,5.822221279144287,11.316085815429688,16624468992.0
6,6.291907787322998,12.005935668945312,17869828096.0
7,6.594038009643555,12.629446983337402,19591061504.0
8,6.9741716384887695,13.1764497756958,21179054080.0
9,7.393983364105225,13.653746604919434,22572845056.0
10,7.85651969909668,14.066664695739746,24164407296.0
11,8.21992015838623,14.455347061157227,25291560960.0
12,8.340747833251953,14.854215621948242,26461456384.0
