horizon,mae,rmse,mape
1,3.6015446186065674,6.8052520751953125,6678655488.0
2,4.7653374671936035,8.565499305725098,11200552960.0
3,5.331546783447266,9.686994552612305,13648472064.0
4,5.821683883666992,10.598747253417969,14778593280.0
5,6.494624614715576,11.473246574401855,17979412480.0
6,6.989453315734863,12.235321998596191,20440254464.0
7,7.62073278427124,12.9693603515625,24519755776.0
8,7.984958648681641,13.49876594543457,25070716928.0
9,8.4098482131958,14.032478332519531,26647427072.0
10,8.807269096374512,14.490519523620605,28748879872.0
11,9.038116455078125,14.832656860351562,29104611328.0
12,9.40595817565918,15.247164726257324,31355613184.0
