horizon,mae,rmse,mape
1,3.637392520904541,6.87489128112793,11315948544.0
2,4.202750205993652,8.364984512329102,13160394752.0
3,4.701791286468506,9.44247055053711,14986754048.0
4,5.165863037109375,10.354778289794922,16700654592.0
5,5.550320625305176,11.142847061157227,17855279104.0
6,5.999316215515137,11.870658874511719,19698339840.0
7,6.493068218231201,12.496002197265625,21864407040.0
8,6.830650329589844,13.030677795410156,22965366784.0
9,7.142685890197754,13.51965045928955,23981910016.0
10,7.47748327255249,13.947386741638184,25525856256.0
11,7.75505256652832,14.318615913391113,26310340608.0
12,8.079977035522461,14.695515632629395,27757871104.0
