horizon,mae,rmse,mape
1,3.6097636222839355,6.824120998382568,7134142976.0
2,4.454421520233154,8.51904296875,9733399552.0
3,5.102814197540283,9.701129913330078,13317459968.0
4,5.686809539794922,10.640307426452637,14528284672.0
5,6.228984355926514,11.52664852142334,17929746432.0
6,6.8446502685546875,12.321174621582031,20688658432.0
7,7.248466968536377,12.973138809204102,22697175040.0
8,7.710792064666748,13.601664543151855,25193607168.0
9,8.139309883117676,14.155206680297852,27054698496.0
10,8.471583366394043,14.545981407165527,27465244672.0
11,8.72743034362793,14.91998291015625,28440119296.0
12,9.155350685119629,15.348411560058594,31090089984.0
