horizon,mae,rmse,mape
1,1.184581995010376,2.2011656761169434,111565.578125
2,1.433451771736145,2.771446943283081,111582.3515625
3,1.6385451555252075,3.267228126525879,111792.125
4,1.8144927024841309,3.6888890266418457,112053.9453125
5,1.9723862409591675,4.049709320068359,112122.640625
6,2.1144912242889404,4.36358118057251,112023.453125
7,2.2470152378082275,4.6423020362854,112051.9296875
8,2.3736307621002197,4.892606258392334,112036.0859375
9,2.4930474758148193,5.119654178619385,112110.53125
10,2.6065242290496826,5.328501224517822,112096.3125
11,2.721414566040039,5.523178577423096,111952.46875
12,2.8260347843170166,5.708653926849365,111894.90625
