horizon,mae,rmse,mape
1,1.0044546127319336,1.9164466857910156,111620.9453125
2,1.356823205947876,2.7089877128601074,111558.0078125
3,1.6234824657440186,3.3443164825439453,111913.5859375
4,1.844411849975586,3.8632888793945312,112150.5703125
5,2.037898540496826,4.296552658081055,112352.1328125
6,2.2111549377441406,4.668524265289307,112216.7109375
7,2.369746208190918,4.9963788986206055,112160.3515625
8,2.517545700073242,5.2884016036987305,112095.5546875
9,2.653252601623535,5.552154064178467,112312.9375
10,2.7807490825653076,5.793478965759277,112309.2265625
11,2.9026031494140625,6.016773700714111,112439.3828125
12,3.0202181339263916,6.225303649902344,112451.0234375
