node,mae,rmse,mape
0,3.7774240970611572,7.14579439163208,11.620033264160156
1,3.58937668800354,6.45011043548584,7.30054235458374
2,2.630082130432129,6.126506805419922,63570620.0
3,3.9809184074401855,7.853731155395508,64016864.0
4,2.1776821613311768,4.63752555847168,64962380.0
5,2.546596050262451,4.997529029846191,64673000.0
6,4.252808570861816,7.688183784484863,14.72280216217041
7,2.496530294418335,5.6419572830200195,6.925078392028809
8,2.858853816986084,4.634625434875488,65292868.0
9,2.5055227279663086,4.327652931213379,63742392.0
10,2.27569580078125,5.321045875549316,5.512568950653076
11,3.0579233169555664,5.991893768310547,7.744045734405518
12,1.701516032218933,3.5596859455108643,2.917461633682251
13,2.4153387546539307,4.778839588165283,63136812.0
14,2.9192237854003906,5.832433223724365,6.409104347229004
15,1.540440320968628,2.962050437927246,2.5090630054473877
16,3.356997489929199,5.75604772567749,62803912.0
17,1.4307726621627808,2.2351956367492676,2.1352124214172363
18,2.341402530670166,5.3240885734558105,65546192.0
19,2.90635347366333,4.998398303985596,64984376.0
20,1.7433147430419922,3.0667505264282227,65824976.0
21,2.578622817993164,4.619422435760498,5.211447715759277
22,1.5449928045272827,2.3450560569763184,63302532.0
23,2.399627208709717,4.562747478485107,5.85579252243042
24,3.376455783843994,8.06992244720459,66218236.0
25,2.0411429405212402,4.398445129394531,3.8246102333068848
26,2.721491575241089,4.7924346923828125,5.091282367706299
27,2.4621243476867676,4.69033145904541,67312472.0
28,3.362548828125,6.024411201477051,60753244.0
29,3.0525901317596436,5.951589584350586,64998436.0
30,3.5010335445404053,5.794073104858398,63040692.0
31,3.9021098613739014,7.316978931427002,57926824.0
32,3.2336912155151367,6.274300575256348,63807536.0
33,1.3379029035568237,3.3150930404663086,66012008.0
34,2.5823490619659424,5.3388824462890625,64553032.0
35,2.37668776512146,4.165461540222168,4.567736625671387
36,2.084160327911377,3.3940343856811523,61916708.0
37,2.327012777328491,4.928154945373535,4.607439994812012
38,2.367225170135498,5.5280327796936035,5.0586419105529785
39,2.546257734298706,5.071302890777588,5.446787357330322
40,3.319911241531372,6.751565456390381,13.495418548583984
41,3.1102969646453857,6.9749755859375,68143904.0
42,3.1725661754608154,7.27453088760376,6.865495681762695
43,2.139787197113037,4.858370780944824,64412624.0
44,2.5434939861297607,5.59609317779541,65209476.0
45,3.4789068698883057,6.984344005584717,7.712509632110596
46,1.3450366258621216,2.750673294067383,64888920.0
47,2.523271083831787,3.955294609069824,4.386022567749023
48,2.3725361824035645,5.405703544616699,6.157395839691162
49,3.6065101623535156,7.34810733795166,64990420.0
50,2.0079736709594727,4.768148422241211,4.251126289367676
51,1.549614667892456,3.3147003650665283,64843456.0
52,2.7236838340759277,4.45895528793335,5.034793376922607
53,2.121285915374756,3.7181918621063232,3.510122299194336
54,3.0389747619628906,6.398026943206787,65560356.0
55,2.424856185913086,6.201210021972656,7.1116437911987305
56,3.089843988418579,5.934090614318848,65896368.0
57,3.5425190925598145,7.828537940979004,10.68028736114502
58,1.8418071269989014,4.068000793457031,3.8657732009887695
59,1.3015878200531006,2.1604743003845215,62105024.0
60,3.1653025150299072,7.031344413757324,64756176.0
61,3.272761344909668,6.837771415710449,9.07479190826416
62,2.227189540863037,4.750467300415039,63423752.0
63,3.85227632522583,8.07987117767334,64520136.0
64,2.9767284393310547,6.610296726226807,7.739409923553467
65,2.2782554626464844,4.926405429840088,5.859697341918945
66,2.910200357437134,5.878208160400391,65169132.0
67,2.597578763961792,4.617496490478516,5.320867538452148
68,2.348475694656372,3.8051910400390625,3.810126781463623
69,1.9193729162216187,3.751922607421875,62876188.0
70,2.88498592376709,4.846453666687012,65869308.0
71,2.4877073764801025,5.318271636962891,5.023284912109375
72,3.218839645385742,6.101863861083984,61022624.0
73,1.9663293361663818,4.837931156158447,4.5313897132873535
74,2.455582618713379,5.743642330169678,64549776.0
75,2.4693801403045654,5.437974452972412,5.390719413757324
76,2.5350661277770996,6.356327533721924,7.6695733070373535
77,3.482848882675171,7.459207057952881,68306368.0
78,1.8715523481369019,4.002410888671875,3.299307107925415
79,1.2265273332595825,2.2295150756835938,1.9253201484680176
80,2.6233532428741455,5.956944465637207,5.613818168640137
81,2.35268497467041,5.591721057891846,64453648.0
82,2.317323684692383,5.711503505706787,6.815764904022217
83,3.849856376647949,6.469778537750244,60420952.0
84,2.1307570934295654,4.24257230758667,60190292.0
85,0.5036870241165161,1.0360742807388306,64845352.0
86,2.835232734680176,6.533012866973877,64293744.0
87,2.3264033794403076,3.848428249359131,4.297579288482666
88,3.1722190380096436,5.877892971038818,65101364.0
89,2.3603053092956543,5.329679489135742,5.019054889678955
90,1.8357206583023071,4.831147193908691,4.234379291534424
91,1.8111348152160645,4.148921489715576,3.4252259731292725
92,1.7546617984771729,3.174022674560547,65335880.0
93,2.452028274536133,4.495582103729248,63384836.0
94,2.54557204246521,6.10115909576416,7.3710737228393555
95,2.982614278793335,5.99657678604126,64134588.0
96,2.36539888381958,4.7471537590026855,4.88140344619751
97,2.322885036468506,4.349947929382324,4.0827250480651855
98,2.640573501586914,4.849326133728027,4.905491352081299
99,3.8727104663848877,6.021949768066406,7.518954753875732
100,5.497089385986328,7.6509690284729,50100664.0
101,3.5964152812957764,6.42193078994751,64174588.0
102,3.0819058418273926,5.339824676513672,66924012.0
103,2.309739828109741,4.9967427253723145,4.456226825714111
104,3.679953098297119,6.315099239349365,7.7325592041015625
105,1.774714469909668,3.256077766418457,2.975517988204956
106,2.0535237789154053,4.400707721710205,4.717406749725342
107,5.715262413024902,7.701062202453613,64281492.0
108,2.0893983840942383,4.270334720611572,61357864.0
109,2.454270839691162,4.874701976776123,4.636315822601318
110,1.9301035404205322,3.6203432083129883,65282692.0
111,1.953450322151184,4.038727283477783,65630200.0
112,2.0967819690704346,4.001151084899902,3.4339005947113037
113,2.6775596141815186,5.149954319000244,5.032415390014648
114,1.409354329109192,2.5473954677581787,65337664.0
115,3.462618350982666,6.678232669830322,7.388647556304932
116,3.2174911499023438,6.514139652252197,60945580.0
117,2.5400962829589844,4.431573390960693,65572988.0
118,1.6808143854141235,2.76831316947937,64657288.0
119,1.9568045139312744,3.906435489654541,61717256.0
120,2.0318264961242676,4.438399314880371,66069708.0
121,2.1413321495056152,5.178624153137207,65781944.0
122,4.422438144683838,6.9775710105896,8.330917358398438
123,2.6170029640197754,4.6764044761657715,4.509471893310547
124,2.6255042552948,4.674838542938232,5.223228454589844
125,1.0415147542953491,2.1478114128112793,1.5910742282867432
126,2.700265645980835,5.6683549880981445,5.443914413452148
127,2.1319658756256104,4.158431053161621,3.573791265487671
128,2.7378342151641846,4.642611503601074,5.369042873382568
