horizon,mae,rmse,mape
1,1.1958907842636108,2.1514930725097656,40204720.0
2,1.4451948404312134,2.724740982055664,40200780.0
3,1.6449401378631592,3.204677104949951,40267420.0
4,1.8114017248153687,3.6013214588165283,40345720.0
5,1.9572514295578003,3.933133602142334,40355720.0
6,2.085151195526123,4.214667797088623,40317152.0
7,2.2019474506378174,4.460856914520264,40360264.0
8,2.3092093467712402,4.678467273712158,40340460.0
9,2.4066290855407715,4.872868537902832,40348608.0
10,2.500325918197632,5.049330711364746,40289240.0
11,2.593895673751831,5.215598106384277,40209016.0
12,2.681481122970581,5.375529766082764,40178264.0
