node,mae,rmse,mape
0,2.8508431911468506,5.173737049102783,178196.171875
1,2.52016282081604,6.000431060791016,6.760298252105713
2,4.324463844299316,7.992434024810791,12.13239574432373
3,2.7093002796173096,5.2870025634765625,169915.359375
4,3.7953102588653564,6.840704917907715,7.485017776489258
5,2.6052663326263428,6.083614826202393,166927.234375
6,3.987092971801758,7.69924783706665,167723.578125
7,2.1351048946380615,4.732270240783691,170747.0625
8,2.638678550720215,5.058812618255615,169124.796875
9,2.8475632667541504,5.9787397384643555,10.448553085327148
10,4.3689703941345215,8.065221786499023,14.444428443908691
11,2.45611310005188,5.5756635665893555,6.57255220413208
12,1.7201842069625854,2.918694496154785,3.439685821533203
13,2.946772336959839,4.818649768829346,172313.046875
14,2.175819158554077,4.123744010925293,168399.0
15,2.214019775390625,5.345083713531494,5.3480939865112305
16,1.599462866783142,2.568241596221924,169307.578125
17,3.1618244647979736,6.1561455726623535,8.308622360229492
18,1.5818613767623901,3.5784525871276855,2.726466178894043
19,4.130487442016602,7.349631309509277,172531.90625
20,2.4487617015838623,4.762756824493408,164384.578125
21,2.78407883644104,5.894583702087402,6.278761386871338
22,1.6149907112121582,2.929218292236328,2.6268844604492188
23,3.5341901779174805,6.036772727966309,165115.734375
24,1.5535879135131836,2.6037075519561768,2.3239314556121826
25,2.3580739498138428,5.303781509399414,172831.84375
26,2.538053512573242,4.437757968902588,171277.125
27,1.4644211530685425,2.732161283493042,172548.984375
28,2.636394500732422,5.782926559448242,166215.6875
29,2.6564247608184814,4.7526702880859375,5.373363494873047
30,2.1312308311462402,3.440136432647705,167391.96875
31,2.341383695602417,4.578539848327637,5.443874359130859
32,3.1268136501312256,8.119633674621582,173854.484375
33,1.971779465675354,4.3422675132751465,3.653548002243042
34,2.1222171783447266,4.424283981323242,169989.078125
35,2.70344877243042,4.912230491638184,5.078850269317627
36,2.547128438949585,4.683579921722412,177453.78125
37,2.306666612625122,5.0658183097839355,170991.265625
38,3.286273956298828,6.114389896392822,160954.375
39,1.6389069557189941,2.4710419178009033,2.5976247787475586
40,2.44795560836792,5.328358173370361,170845.234375
41,3.010199546813965,5.774477481842041,165308.515625
42,2.5297021865844727,4.685983180999756,163166.484375
43,3.209765911102295,5.687145709991455,166116.390625
44,1.9581174850463867,4.379778861999512,167712.796875
45,4.034181594848633,7.561479091644287,152852.6875
46,3.4684228897094727,6.655375003814697,168010.765625
47,1.5448722839355469,3.4557273387908936,172498.078125
48,2.452650785446167,5.284904479980469,170981.28125
49,2.565387725830078,4.4008636474609375,4.884122848510742
50,1.6831624507904053,2.9092953205108643,163013.921875
51,2.4939653873443604,5.187364101409912,4.868798732757568
52,2.4502406120300293,5.426801681518555,5.252806663513184
53,2.550283670425415,4.5058183670043945,162738.671875
54,2.421833038330078,4.840707302093506,5.1306939125061035
55,3.0172014236450195,6.39453649520874,11.497462272644043
56,2.8620846271514893,6.802599906921387,179534.015625
57,3.072669744491577,7.259731769561768,6.661220073699951
58,2.091517210006714,4.75159215927124,169462.6875
59,3.2830092906951904,6.907379150390625,169303.984375
60,2.45271372795105,5.549681186676025,169907.5
61,3.6260786056518555,7.190495014190674,8.185998916625977
62,1.439348578453064,2.752664566040039,170770.125
63,2.1090469360351562,3.4486186504364014,3.580611228942871
64,2.4273643493652344,4.008103847503662,4.237718105316162
65,2.3345556259155273,4.044681549072266,170727.421875
66,2.8061740398406982,6.145053863525391,155355.109375
67,2.3401496410369873,5.326620578765869,5.963254451751709
68,4.189988136291504,8.027413368225098,171806.171875
69,2.1754801273345947,4.955446720123291,4.458760738372803
70,1.676914930343628,3.699108839035034,169010.03125
71,2.8216240406036377,4.886349678039551,5.278621196746826
72,3.2826344966888428,5.711711406707764,164233.28125
73,2.797572612762451,4.835713863372803,168548.765625
74,2.2061266899108887,3.8768763542175293,155598.390625
75,2.601102113723755,5.871669292449951,164122.40625
76,2.3852081298828125,4.296741485595703,3.9127304553985596
77,2.2174463272094727,4.773802757263184,4.755914688110352
78,1.4947640895843506,3.0005624294281006,170770.78125
79,3.1131553649902344,6.424262523651123,172538.984375
80,4.414106845855713,7.295987129211426,165748.21875
81,2.3791604042053223,6.246138095855713,6.881316661834717
82,2.6054019927978516,5.010852336883545,173013.9375
83,1.9009615182876587,3.6303155422210693,162357.484375
84,3.4149010181427,7.577417373657227,10.12488842010498
85,1.9136241674423218,4.241079807281494,4.046146869659424
86,1.3671367168426514,2.240588426589966,163425.546875
87,3.653956413269043,7.484058380126953,169188.71875
88,3.647149085998535,6.913113117218018,158097.65625
89,2.854358434677124,6.791156768798828,169899.6875
90,3.423219919204712,7.0408830642700195,9.333343505859375
91,2.1810920238494873,4.730712890625,167549.1875
