horizon,mae,rmse,mape
1,1.0368932485580444,1.9270164966583252,111362.0703125
2,1.3841912746429443,2.711005210876465,111283.8359375
3,1.6465238332748413,3.3411574363708496,111573.734375
4,1.8623809814453125,3.8562703132629395,111800.765625
5,2.0511624813079834,4.286661624908447,111966.4765625
6,2.219282388687134,4.656123638153076,111876.5625
7,2.3714184761047363,4.982455730438232,111847.0078125
8,2.5132369995117188,5.274112224578857,111827.390625
9,2.642165422439575,5.537438869476318,112055.203125
10,2.7635138034820557,5.779358863830566,112103.9921875
11,2.8802330493927,6.00528621673584,112187.265625
12,2.993946075439453,6.218954086303711,112306.2734375
