node,mae,rmse,mape
0,2.2909414768218994,4.154171943664551,176105.734375
1,2.2862157821655273,5.699501037597656,6.822741985321045
2,3.152247667312622,6.584476947784424,10.575017929077148
3,2.3098361492156982,4.7945404052734375,169339.59375
4,3.227996349334717,5.866817951202393,7.023009777069092
5,2.1800291538238525,5.4581756591796875,167203.34375
6,3.6195030212402344,7.531132698059082,167372.75
7,1.9573832750320435,4.373692512512207,169970.65625
8,2.512324094772339,5.288265705108643,168344.890625
9,3.3427834510803223,7.562124252319336,15.74868392944336
10,4.443674564361572,8.78480339050293,22.660423278808594
11,2.3588223457336426,5.579036712646484,7.142350196838379
12,1.5631134510040283,2.8571066856384277,3.226038932800293
13,2.439030885696411,4.059534549713135,170496.515625
14,1.440037488937378,2.8908143043518066,168170.234375
15,2.3515989780426025,5.399491786956787,6.113451957702637
16,0.9693009257316589,1.793438196182251,169006.59375
17,2.933225393295288,6.1964430809021,8.72307300567627
18,1.1481907367706299,2.552793264389038,2.0150911808013916
19,3.858116388320923,6.979065418243408,171695.46875
20,1.9845963716506958,4.391080856323242,162411.03125
21,2.415240526199341,5.142800807952881,5.937521934509277
22,1.4901751279830933,2.6706221103668213,2.4354629516601562
23,2.752389430999756,5.0798234939575195,165603.65625
24,1.1956946849822998,1.7937662601470947,1.7819592952728271
25,2.362605571746826,4.890527248382568,170869.84375
26,3.2053916454315186,6.169870376586914,170297.71875
27,1.0926790237426758,1.8278032541275024,171593.265625
28,1.9687471389770508,4.91372537612915,166511.96875
29,2.383338451385498,4.013702392578125,4.892784118652344
30,1.161281943321228,1.842085838317871,168118.234375
31,2.29556941986084,5.343804359436035,6.284626007080078
32,3.279042959213257,8.230438232421875,172396.234375
33,1.713963508605957,3.8580007553100586,3.3733558654785156
34,1.8138407468795776,4.025962829589844,169001.90625
35,2.3457486629486084,4.181173324584961,4.602172374725342
36,2.8547732830047607,5.18999719619751,176402.953125
37,2.0809988975524902,4.728272438049316,170005.734375
38,2.6835196018218994,5.342366695404053,159914.015625
39,1.1761177778244019,1.6514469385147095,1.8484807014465332
40,2.277442455291748,4.732308387756348,169270.078125
41,2.052030086517334,4.871037006378174,163237.25
42,2.051605224609375,4.12136173248291,162027.375
43,2.7537548542022705,5.172406196594238,165731.890625
44,1.5602244138717651,3.748629570007324,167994.78125
45,3.4575326442718506,6.909837245941162,153992.3125
46,3.1547179222106934,6.789763927459717,167658.515625
47,1.3091049194335938,3.2143919467926025,171766.046875
48,2.413468837738037,5.426867485046387,169165.78125
49,1.9477418661117554,3.5714516639709473,3.9154608249664307
50,1.01329505443573,2.290580987930298,162179.578125
51,2.0346126556396484,4.583873271942139,4.317928314208984
52,2.0975658893585205,4.633727073669434,4.549452304840088
53,2.2208304405212402,4.214461803436279,161452.28125
54,2.217473268508911,4.2448201179504395,5.359871864318848
55,3.3867201805114746,7.865825653076172,17.609926223754883
56,3.0630712509155273,6.726317405700684,178363.359375
57,2.848773241043091,6.579869747161865,6.788046836853027
58,2.0385916233062744,4.472953796386719,168378.875
59,2.788454532623291,6.362913131713867,169097.625
60,2.4599874019622803,5.717245578765869,168210.625
61,3.244084596633911,6.634122848510742,7.752072811126709
62,1.180256962776184,2.501204490661621,169843.09375
63,1.915389060974121,3.2478175163269043,3.2564964294433594
64,1.478454351425171,2.536522626876831,2.6458683013916016
65,1.8462339639663696,3.7219531536102295,170095.4375
66,2.4095895290374756,5.6829094886779785,155781.421875
67,2.2245068550109863,5.078714847564697,6.869967937469482
68,2.997100591659546,6.613442897796631,170545.921875
69,1.716633677482605,3.8507938385009766,4.119709491729736
70,1.477548599243164,3.0287060737609863,168561.8125
71,2.3030245304107666,3.745685338973999,4.322534084320068
72,2.269434690475464,4.760417461395264,162165.8125
73,2.3561551570892334,4.401368141174316,167883.671875
74,2.0435051918029785,3.8034582138061523,155846.40625
75,2.1608662605285645,5.31318473815918,161183.375
76,1.9397119283676147,3.3725907802581787,3.221743583679199
77,1.8485815525054932,3.6871867179870605,4.504958152770996
78,1.2701877355575562,2.6773838996887207,169610.90625
79,2.759572744369507,6.121004104614258,173075.59375
80,3.8087244033813477,6.697320461273193,165987.59375
81,2.5201637744903564,6.452377796173096,7.677220344543457
82,3.2852535247802734,6.749008655548096,171571.78125
83,1.5336637496948242,3.427696704864502,162404.75
84,3.232412576675415,7.356077194213867,11.361091613769531
85,1.934436321258545,4.33060359954834,4.362242698669434
86,1.0999090671539307,1.8390566110610962,161721.75
87,3.1630260944366455,7.106112003326416,168941.65625
88,3.2294833660125732,6.732077598571777,157491.46875
89,2.4097561836242676,6.204954624176025,168814.046875
90,3.156226396560669,6.639895439147949,9.084156036376953
91,2.097053289413452,4.675251007080078,166501.890625
92,1.2369893789291382,2.5494911670684814,2.0796890258789062
93,3.251127004623413,7.236819744110107,168860.65625
94,2.854466199874878,6.346005439758301,9.001923561096191
95,1.3535664081573486,2.7179372310638428,168825.015625
96,2.210636615753174,5.143513202667236,6.167075157165527
97,2.4122731685638428,5.27344274520874,171037.15625
98,2.2014992237091064,4.229412078857422,4.873631000518799
99,2.489201307296753,4.828823566436768,174415.203125
100,2.21500563621521,3.404384136199951,3.589418411254883
101,1.4932317733764648,3.268872022628784,163408.09375
102,2.2626848220825195,4.111888408660889,173436.75
103,2.0834052562713623,4.881907939910889,4.498534202575684
104,2.5692481994628906,5.332873821258545,160700.078125
105,2.2783336639404297,4.807394027709961,5.653072834014893
106,2.3352584838867188,5.608563423156738,168459.515625
107,2.434047222137451,4.850594520568848,5.9947710037231445
108,2.5495052337646484,6.233432769775391,7.648074626922607
109,3.4379148483276367,7.541415214538574,178739.984375
110,1.5832146406173706,3.306246280670166,2.867292881011963
111,0.8821189999580383,1.467922329902649,1.3790532350540161
112,2.4731521606445312,5.107892036437988,5.945104122161865
113,2.5452187061309814,6.11143159866333,168024.03125
114,2.5202908515930176,6.125234603881836,8.121066093444824
115,4.0566301345825195,7.311088562011719,159603.9375
116,1.9049293994903564,3.690885066986084,158500.6875
117,0.5161257982254028,1.0957651138305664,168779.765625
118,2.7665023803710938,5.792084217071533,171226.796875
119,1.995123267173767,5.075534343719482,168061.3125
120,1.854567289352417,3.224231719970703,3.5694093704223633
121,3.569246292114258,7.11236572265625,170046.0625
122,1.9662572145462036,4.645281791687012,4.418635368347168
123,1.7434574365615845,4.5909810066223145,4.147402286529541
124,1.9003421068191528,3.823880434036255,3.8206729888916016
125,1.3330992460250854,2.533496141433716,169818.171875
126,2.2104649543762207,4.301551818847656,165220.859375
127,2.4351494312286377,6.0226030349731445,7.379083156585693
128,2.2623159885406494,5.201504230499268,168548.1875
129,1.9210891723632812,4.163736820220947,4.518396377563477
130,1.802478551864624,3.342808723449707,3.2433629035949707
131,1.793785572052002,3.431654453277588,3.5212759971618652
132,3.358966112136841,5.2908477783203125,6.995339870452881
133,5.406198024749756,7.611263751983643,141634.15625
134,6.463679790496826,8.980692863464355,167311.265625
135,3.3879234790802,6.425873756408691,168241.46875
136,2.7734830379486084,4.817023754119873,175588.734375
137,2.047312021255493,4.34581995010376,3.962179660797119
138,3.168367862701416,5.580122947692871,7.810457706451416
139,1.3919925689697266,3.807494640350342,166874.46875
140,1.0427162647247314,2.2299516201019287,167281.625
141,2.9418506622314453,6.606637001037598,176929.875
