horizon,mae,rmse,mape
1,1.1120610237121582,1.8770166635513306,112735.421875
2,1.3469940423965454,2.4954628944396973,112601.578125
3,1.5467513799667358,3.032770872116089,112884.4140625
4,1.7142741680145264,3.469299077987671,113019.1640625
5,1.8537224531173706,3.8214986324310303,113082.765625
6,1.9766466617584229,4.112066268920898,113015.671875
7,2.0878968238830566,4.363364219665527,113018.203125
8,2.180783987045288,4.574179172515869,112948.0625
9,2.273498773574829,4.764495372772217,113026.34375
10,2.3582568168640137,4.936873435974121,113048.4140625
11,2.4384877681732178,5.094794273376465,113047.703125
12,2.516306161880493,5.247910499572754,112981.7734375
