graph_name,dataset,role,node,community_id,community_size
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,171,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,24,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,120,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,37,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,142,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,168,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,36,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,115,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,0,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,179,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,139,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,95,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,42,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,111,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,125,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,145,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,51,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,169,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,109,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,25,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,118,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,202,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,54,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,112,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,173,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,67,0,26
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,16,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,4,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,144,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,30,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,5,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,134,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,38,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,6,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,196,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,133,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,138,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,93,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,91,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,15,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,65,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,136,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,191,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,33,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,48,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,64,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,166,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,29,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,193,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,101,1,24
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,82,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,131,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,100,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,59,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,76,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,158,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,150,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,84,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,41,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,151,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,77,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,87,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,146,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,43,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,148,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,9,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,130,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,14,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,8,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,88,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,197,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,204,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,185,2,23
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,27,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,2,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,11,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,92,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,183,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,79,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,106,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,78,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,85,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,178,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,132,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,152,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,147,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,55,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,105,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,201,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,108,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,44,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,46,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,129,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,49,3,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,17,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,12,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,198,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,155,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,160,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,188,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,163,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,187,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,195,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,3,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,192,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,162,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,159,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,127,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,206,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,157,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,80,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,161,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,97,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,128,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,154,4,21
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,20,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,19,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,40,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,119,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,68,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,96,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,22,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,70,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,57,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,102,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,94,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,98,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,175,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,32,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,74,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,39,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,103,5,17
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,60,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,52,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,141,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,81,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,47,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,73,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,75,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,113,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,69,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,63,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,164,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,137,6,12
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,203,7,11
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,153,7,11
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,7,7,11
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,45,7,11
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,1,7,11
metr-la-by-disp_fil-with-alpah_filter0_3,metr-la,backbone,123,7,11
