graph_name,dataset,role,source,target,weight,edge_overlap
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,37,0.5088465213775635,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,142,0.7216228246688843,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,36,0.5190026164054871,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,0,143,0.5301210880279541,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,1,2,0.7174379229545593,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,1,7,0.3904570937156677,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,1,123,0.9729598164558411,0.16666666666666666
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,1,135,0.8250966668128967,0.1111111111111111
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,2,49,0.4410549998283386,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,2,27,0.5831708312034607,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,2,79,0.8189860582351685,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,3,17,0.7409003973007202,0.25
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,3,5,0.8948124051094055,0.16666666666666666
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,3,136,0.6326285004615784,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,4,33,0.8028725385665894,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,4,144,0.6933856010437012,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,4,12,0.4840310215950012,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,4,193,0.7019698619842529,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,5,15,0.7656847834587097,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,5,17,0.46013808250427246,0.14285714285714285
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,5,192,0.7236307859420776,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,5,38,0.5278344750404358,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,5,91,0.5607427954673767,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,6,91,0.5209550261497498,0.14285714285714285
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,6,93,0.848268985748291,0.14285714285714285
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,6,124,0.25778821110725403,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,6,144,0.5193604230880737,0.0
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,7,11,0.38934430480003357,0.0
