graph_name,dataset,role,node,community_id,community_size
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,210,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,4,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,2,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,319,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,205,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,199,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,226,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,151,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,50,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,164,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,209,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,68,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,254,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,153,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,203,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,13,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,102,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,201,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,208,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,206,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,53,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,202,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,158,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,154,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,16,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,19,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,160,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,134,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,38,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,126,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,41,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,313,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,200,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,227,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,56,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,207,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,73,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,97,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,217,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,18,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,72,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,204,0,42
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,272,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,263,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,266,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,259,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,234,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,145,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,265,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,232,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,235,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,260,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,270,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,167,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,233,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,231,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,267,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,264,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,261,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,311,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,271,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,196,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,229,1,33
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,236,1,33
