graph_name,dataset,role,source,target,path_length
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,91,1
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,62,5
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,86,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,72,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,68,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,63,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,89,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,97,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,73,9
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,82,9
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,99,10
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,9,10
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,84,11
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,76,12
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,60,61,13
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,24,1
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,212,1
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,215,2
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,18,3
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,217,4
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,56,4
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,2,5
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,68,5
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,4,5
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,19,5
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,26,5
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,72,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,226,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,227,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,201,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,254,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,202,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,204,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,31,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,82,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,97,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,41,6
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,203,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,205,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,200,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,208,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,207,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,206,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,20,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,9,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,55,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,219,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,313,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,53,7
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,73,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,38,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,210,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,199,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,319,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,209,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,312,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,6,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,84,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,221,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,99,8
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,50,9
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,237,9
pems-bay-by-disp_fil-with-alpah_filter0_3,pems-bay,backbone,176,223,9
