graph_name,dataset,role,node,community_id,community_size
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,210,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,4,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,2,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,319,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,205,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,115,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,199,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,226,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,151,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,50,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,68,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,209,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,164,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,254,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,149,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,153,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,203,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,13,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,102,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,201,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,208,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,10,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,206,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,53,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,215,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,202,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,158,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,154,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,16,0,50
pems-bay-by-glanb-with-alpah_filter0_3,pems-bay,backbone,38,0,50
