graph_name,dataset,role,node,community_id,community_size
pems-bay,pems-bay,original,210,0,67
pems-bay,pems-bay,original,4,0,67
pems-bay,pems-bay,original,2,0,67
pems-bay,pems-bay,original,168,0,67
pems-bay,pems-bay,original,205,0,67
pems-bay,pems-bay,original,115,0,67
pems-bay,pems-bay,original,226,0,67
pems-bay,pems-bay,original,68,0,67
pems-bay,pems-bay,original,164,0,67
pems-bay,pems-bay,original,254,0,67
pems-bay,pems-bay,original,153,0,67
pems-bay,pems-bay,original,324,0,67
pems-bay,pems-bay,original,102,0,67
pems-bay,pems-bay,original,201,0,67
pems-bay,pems-bay,original,158,0,67
pems-bay,pems-bay,original,58,0,67
pems-bay,pems-bay,original,16,0,67
pems-bay,pems-bay,original,310,0,67
pems-bay,pems-bay,original,38,0,67
pems-bay,pems-bay,original,19,0,67
pems-bay,pems-bay,original,160,0,67
pems-bay,pems-bay,original,6,0,67
pems-bay,pems-bay,original,321,0,67
pems-bay,pems-bay,original,280,0,67
pems-bay,pems-bay,original,63,0,67
pems-bay,pems-bay,original,313,0,67
pems-bay,pems-bay,original,200,0,67
pems-bay,pems-bay,original,89,0,67
pems-bay,pems-bay,original,227,0,67
pems-bay,pems-bay,original,207,0,67
pems-bay,pems-bay,original,73,0,67
pems-bay,pems-bay,original,130,0,67
pems-bay,pems-bay,original,97,0,67
pems-bay,pems-bay,original,217,0,67
pems-bay,pems-bay,original,46,0,67
pems-bay,pems-bay,original,204,0,67
pems-bay,pems-bay,original,319,0,67
pems-bay,pems-bay,original,199,0,67
pems-bay,pems-bay,original,151,0,67
pems-bay,pems-bay,original,50,0,67
pems-bay,pems-bay,original,209,0,67
pems-bay,pems-bay,original,149,0,67
pems-bay,pems-bay,original,110,0,67
pems-bay,pems-bay,original,257,0,67
pems-bay,pems-bay,original,70,0,67
pems-bay,pems-bay,original,203,0,67
pems-bay,pems-bay,original,13,0,67
pems-bay,pems-bay,original,208,0,67
pems-bay,pems-bay,original,230,0,67
pems-bay,pems-bay,original,10,0,67
pems-bay,pems-bay,original,206,0,67
pems-bay,pems-bay,original,53,0,67
pems-bay,pems-bay,original,202,0,67
pems-bay,pems-bay,original,172,0,67
pems-bay,pems-bay,original,322,0,67
pems-bay,pems-bay,original,154,0,67
pems-bay,pems-bay,original,142,0,67
pems-bay,pems-bay,original,181,0,67
pems-bay,pems-bay,original,150,0,67
pems-bay,pems-bay,original,20,0,67
pems-bay,pems-bay,original,134,0,67
pems-bay,pems-bay,original,323,0,67
pems-bay,pems-bay,original,41,0,67
pems-bay,pems-bay,original,99,0,67
pems-bay,pems-bay,original,166,0,67
pems-bay,pems-bay,original,72,0,67
pems-bay,pems-bay,original,165,0,67
pems-bay,pems-bay,original,60,1,39
pems-bay,pems-bay,original,272,1,39
pems-bay,pems-bay,original,252,1,39
pems-bay,pems-bay,original,263,1,39
pems-bay,pems-bay,original,11,1,39
pems-bay,pems-bay,original,266,1,39
pems-bay,pems-bay,original,259,1,39
pems-bay,pems-bay,original,234,1,39
pems-bay,pems-bay,original,260,1,39
pems-bay,pems-bay,original,265,1,39
pems-bay,pems-bay,original,145,1,39
pems-bay,pems-bay,original,270,1,39
pems-bay,pems-bay,original,232,1,39
pems-bay,pems-bay,original,235,1,39
pems-bay,pems-bay,original,167,1,39
pems-bay,pems-bay,original,233,1,39
pems-bay,pems-bay,original,113,1,39
pems-bay,pems-bay,original,231,1,39
pems-bay,pems-bay,original,267,1,39
pems-bay,pems-bay,original,173,1,39
pems-bay,pems-bay,original,264,1,39
pems-bay,pems-bay,original,261,1,39
pems-bay,pems-bay,original,311,1,39
pems-bay,pems-bay,original,271,1,39
pems-bay,pems-bay,original,196,1,39
pems-bay,pems-bay,original,229,1,39
pems-bay,pems-bay,original,236,1,39
pems-bay,pems-bay,original,269,1,39
pems-bay,pems-bay,original,258,1,39
pems-bay,pems-bay,original,262,1,39
pems-bay,pems-bay,original,147,1,39
pems-bay,pems-bay,original,91,1,39
pems-bay,pems-bay,original,169,1,39
pems-bay,pems-bay,original,273,1,39
pems-bay,pems-bay,original,141,1,39
pems-bay,pems-bay,original,148,1,39
pems-bay,pems-bay,original,268,1,39
pems-bay,pems-bay,original,48,1,39
pems-bay,pems-bay,original,182,1,39
pems-bay,pems-bay,original,189,2,33
pems-bay,pems-bay,original,36,2,33
pems-bay,pems-bay,original,211,2,33
pems-bay,pems-bay,original,183,2,33
pems-bay,pems-bay,original,132,2,33
pems-bay,pems-bay,original,216,2,33
pems-bay,pems-bay,original,222,2,33
pems-bay,pems-bay,original,105,2,33
pems-bay,pems-bay,original,174,2,33
pems-bay,pems-bay,original,247,2,33
pems-bay,pems-bay,original,220,2,33
pems-bay,pems-bay,original,137,2,33
pems-bay,pems-bay,original,218,2,33
pems-bay,pems-bay,original,90,2,33
pems-bay,pems-bay,original,40,2,33
pems-bay,pems-bay,original,188,2,33
pems-bay,pems-bay,original,213,2,33
pems-bay,pems-bay,original,107,2,33
pems-bay,pems-bay,original,187,2,33
pems-bay,pems-bay,original,214,2,33
pems-bay,pems-bay,original,224,2,33
pems-bay,pems-bay,original,177,2,33
pems-bay,pems-bay,original,111,2,33
pems-bay,pems-bay,original,246,2,33
pems-bay,pems-bay,original,57,2,33
pems-bay,pems-bay,original,186,2,33
pems-bay,pems-bay,original,253,2,33
pems-bay,pems-bay,original,157,2,33
pems-bay,pems-bay,original,25,2,33
pems-bay,pems-bay,original,54,2,33
pems-bay,pems-bay,original,118,2,33
pems-bay,pems-bay,original,124,2,33
pems-bay,pems-bay,original,248,2,33
pems-bay,pems-bay,original,81,3,32
pems-bay,pems-bay,original,299,3,32
pems-bay,pems-bay,original,75,3,32
pems-bay,pems-bay,original,106,3,32
pems-bay,pems-bay,original,307,3,32
pems-bay,pems-bay,original,287,3,32
pems-bay,pems-bay,original,309,3,32
pems-bay,pems-bay,original,195,3,32
pems-bay,pems-bay,original,119,3,32
pems-bay,pems-bay,original,308,3,32
pems-bay,pems-bay,original,96,3,32
pems-bay,pems-bay,original,15,3,32
pems-bay,pems-bay,original,108,3,32
pems-bay,pems-bay,original,302,3,32
pems-bay,pems-bay,original,123,3,32
pems-bay,pems-bay,original,127,3,32
pems-bay,pems-bay,original,33,3,32
pems-bay,pems-bay,original,101,3,32
pems-bay,pems-bay,original,303,3,32
pems-bay,pems-bay,original,7,3,32
pems-bay,pems-bay,original,144,3,32
pems-bay,pems-bay,original,180,3,32
pems-bay,pems-bay,original,85,3,32
pems-bay,pems-bay,original,22,3,32
pems-bay,pems-bay,original,301,3,32
pems-bay,pems-bay,original,240,3,32
pems-bay,pems-bay,original,304,3,32
pems-bay,pems-bay,original,300,3,32
pems-bay,pems-bay,original,114,3,32
pems-bay,pems-bay,original,305,3,32
pems-bay,pems-bay,original,32,3,32
pems-bay,pems-bay,original,306,3,32
pems-bay,pems-bay,original,171,4,31
pems-bay,pems-bay,original,37,4,31
pems-bay,pems-bay,original,256,4,31
pems-bay,pems-bay,original,59,4,31
pems-bay,pems-bay,original,316,4,31
pems-bay,pems-bay,original,243,4,31
pems-bay,pems-bay,original,245,4,31
pems-bay,pems-bay,original,170,4,31
pems-bay,pems-bay,original,163,4,31
pems-bay,pems-bay,original,78,4,31
pems-bay,pems-bay,original,3,4,31
pems-bay,pems-bay,original,139,4,31
pems-bay,pems-bay,original,42,4,31
pems-bay,pems-bay,original,162,4,31
pems-bay,pems-bay,original,317,4,31
pems-bay,pems-bay,original,152,4,31
pems-bay,pems-bay,original,28,4,31
pems-bay,pems-bay,original,87,4,31
pems-bay,pems-bay,original,125,4,31
pems-bay,pems-bay,original,315,4,31
pems-bay,pems-bay,original,241,4,31
pems-bay,pems-bay,original,242,4,31
pems-bay,pems-bay,original,65,4,31
pems-bay,pems-bay,original,116,4,31
pems-bay,pems-bay,original,318,4,31
pems-bay,pems-bay,original,244,4,31
pems-bay,pems-bay,original,161,4,31
pems-bay,pems-bay,original,314,4,31
pems-bay,pems-bay,original,136,4,31
pems-bay,pems-bay,original,193,4,31
pems-bay,pems-bay,original,140,4,31
pems-bay,pems-bay,original,83,5,28
pems-bay,pems-bay,original,12,5,28
pems-bay,pems-bay,original,71,5,28
pems-bay,pems-bay,original,66,5,28
pems-bay,pems-bay,original,5,5,28
pems-bay,pems-bay,original,155,5,28
pems-bay,pems-bay,original,47,5,28
pems-bay,pems-bay,original,255,5,28
pems-bay,pems-bay,original,69,5,28
pems-bay,pems-bay,original,95,5,28
pems-bay,pems-bay,original,143,5,28
pems-bay,pems-bay,original,117,5,28
pems-bay,pems-bay,original,159,5,28
pems-bay,pems-bay,original,67,5,28
pems-bay,pems-bay,original,52,5,28
pems-bay,pems-bay,original,21,5,28
pems-bay,pems-bay,original,238,5,28
pems-bay,pems-bay,original,94,5,28
pems-bay,pems-bay,original,98,5,28
pems-bay,pems-bay,original,44,5,28
pems-bay,pems-bay,original,35,5,28
pems-bay,pems-bay,original,112,5,28
pems-bay,pems-bay,original,29,5,28
pems-bay,pems-bay,original,74,5,28
pems-bay,pems-bay,original,184,5,28
pems-bay,pems-bay,original,129,5,28
pems-bay,pems-bay,original,104,5,28
pems-bay,pems-bay,original,185,5,28
pems-bay,pems-bay,original,122,6,21
pems-bay,pems-bay,original,82,6,21
pems-bay,pems-bay,original,131,6,21
pems-bay,pems-bay,original,61,6,21
pems-bay,pems-bay,original,76,6,21
pems-bay,pems-bay,original,223,6,21
pems-bay,pems-bay,original,84,6,21
pems-bay,pems-bay,original,249,6,21
pems-bay,pems-bay,original,179,6,21
pems-bay,pems-bay,original,219,6,21
pems-bay,pems-bay,original,178,6,21
pems-bay,pems-bay,original,55,6,21
pems-bay,pems-bay,original,31,6,21
pems-bay,pems-bay,original,225,6,21
pems-bay,pems-bay,original,109,6,21
pems-bay,pems-bay,original,121,6,21
pems-bay,pems-bay,original,9,6,21
pems-bay,pems-bay,original,26,6,21
pems-bay,pems-bay,original,51,6,21
pems-bay,pems-bay,original,221,6,21
pems-bay,pems-bay,original,103,6,21
pems-bay,pems-bay,original,17,7,18
pems-bay,pems-bay,original,120,7,18
pems-bay,pems-bay,original,320,7,18
pems-bay,pems-bay,original,30,7,18
pems-bay,pems-bay,original,135,7,18
pems-bay,pems-bay,original,79,7,18
pems-bay,pems-bay,original,250,7,18
pems-bay,pems-bay,original,138,7,18
pems-bay,pems-bay,original,133,7,18
pems-bay,pems-bay,original,23,7,18
pems-bay,pems-bay,original,146,7,18
pems-bay,pems-bay,original,93,7,18
pems-bay,pems-bay,original,45,7,18
pems-bay,pems-bay,original,251,7,18
pems-bay,pems-bay,original,80,7,18
pems-bay,pems-bay,original,14,7,18
pems-bay,pems-bay,original,64,7,18
pems-bay,pems-bay,original,49,7,18
pems-bay,pems-bay,original,27,8,16
pems-bay,pems-bay,original,292,8,16
pems-bay,pems-bay,original,296,8,16
pems-bay,pems-bay,original,297,8,16
pems-bay,pems-bay,original,294,8,16
pems-bay,pems-bay,original,239,8,16
pems-bay,pems-bay,original,286,8,16
pems-bay,pems-bay,original,293,8,16
pems-bay,pems-bay,original,289,8,16
pems-bay,pems-bay,original,290,8,16
pems-bay,pems-bay,original,291,8,16
pems-bay,pems-bay,original,295,8,16
pems-bay,pems-bay,original,298,8,16
pems-bay,pems-bay,original,288,8,16
pems-bay,pems-bay,original,194,8,16
pems-bay,pems-bay,original,156,8,16
pems-bay,pems-bay,original,279,9,10
pems-bay,pems-bay,original,274,9,10
pems-bay,pems-bay,original,283,9,10
pems-bay,pems-bay,original,285,9,10
pems-bay,pems-bay,original,277,9,10
pems-bay,pems-bay,original,276,9,10
pems-bay,pems-bay,original,275,9,10
pems-bay,pems-bay,original,278,9,10
pems-bay,pems-bay,original,281,9,10
pems-bay,pems-bay,original,284,9,10
pems-bay,pems-bay,original,24,10,8
pems-bay,pems-bay,original,176,10,8
pems-bay,pems-bay,original,56,10,8
pems-bay,pems-bay,original,212,10,8
pems-bay,pems-bay,original,126,10,8
pems-bay,pems-bay,original,215,10,8
pems-bay,pems-bay,original,175,10,8
pems-bay,pems-bay,original,18,10,8
pems-bay,pems-bay,original,312,11,8
pems-bay,pems-bay,original,34,11,8
pems-bay,pems-bay,original,100,11,8
pems-bay,pems-bay,original,228,11,8
pems-bay,pems-bay,original,86,11,8
pems-bay,pems-bay,original,62,11,8
pems-bay,pems-bay,original,237,11,8
pems-bay,pems-bay,original,128,11,8
pems-bay,pems-bay,original,43,12,8
pems-bay,pems-bay,original,8,12,8
pems-bay,pems-bay,original,198,12,8
pems-bay,pems-bay,original,88,12,8
pems-bay,pems-bay,original,192,12,8
pems-bay,pems-bay,original,191,12,8
pems-bay,pems-bay,original,197,12,8
pems-bay,pems-bay,original,190,12,8
pems-bay,pems-bay,original,0,13,1
pems-bay,pems-bay,original,1,14,1
pems-bay,pems-bay,original,39,15,1
pems-bay,pems-bay,original,77,16,1
pems-bay,pems-bay,original,92,17,1
pems-bay,pems-bay,original,282,18,1
