horizon,mae,rmse,mape
1,5.003836154937744,8.735786437988281,7497869824.0
2,5.039349555969238,9.057353973388672,10561869824.0
3,5.259341239929199,9.803396224975586,13553419264.0
4,5.652946472167969,10.598505973815918,16030161920.0
5,6.067002296447754,11.366095542907715,18207467520.0
6,6.458041191101074,12.045421600341797,19780268032.0
7,6.842448711395264,12.636807441711426,21192495104.0
8,7.216618537902832,13.178421974182129,22454312960.0
9,7.576873779296875,13.67142391204834,23665885184.0
10,7.9073872566223145,14.086623191833496,24713646080.0
11,8.226519584655762,14.47241497039795,25715283968.0
12,8.536850929260254,14.843393325805664,26700785664.0
