horizon,mae,rmse,mape
1,3.029778242111206,6.63118314743042,4489504256.0
2,4.022117614746094,8.400739669799805,10675658752.0
3,4.761611461639404,9.637269973754883,14583747584.0
4,5.187641620635986,10.567620277404785,15592539136.0
5,5.606714725494385,11.402969360351562,16855816192.0
6,6.038286209106445,12.173683166503906,18431614976.0
7,6.416550636291504,12.845295906066895,19636705280.0
8,6.757075309753418,13.427087783813477,20635860992.0
9,7.0881571769714355,13.963187217712402,21634007040.0
10,7.395459175109863,14.430395126342773,22501400576.0
11,7.694163799285889,14.86961841583252,23305445376.0
12,7.990017890930176,15.293781280517578,24103008256.0
