horizon,mae,rmse,mape
1,3.0627593994140625,6.661581516265869,5447969792.0
2,3.673828125,8.247474670410156,7349735424.0
3,4.2608819007873535,9.367051124572754,9844314112.0
4,4.6754150390625,10.302985191345215,10903249920.0
5,5.239614486694336,11.116108894348145,13719079936.0
6,5.628101825714111,11.846466064453125,14539002880.0
7,6.054025173187256,12.467541694641113,16128756736.0
8,6.391202449798584,13.034323692321777,16889649152.0
9,6.977540493011475,13.507014274597168,20289964032.0
10,7.326003551483154,13.925501823425293,21331664896.0
11,7.650112628936768,14.321764945983887,23148189696.0
12,7.757519245147705,14.72554874420166,22282438656.0
