horizon,mae,rmse,mape
1,3.4727447032928467,6.7450151443481445,9659549696.0
2,4.097858905792236,8.303526878356934,12074739712.0
3,4.638853073120117,9.399284362792969,14179881984.0
4,5.079020023345947,10.3074369430542,15590098944.0
5,5.529332160949707,11.120437622070312,17423116288.0
6,5.96046257019043,11.8267822265625,18968403968.0
7,6.418452262878418,12.451821327209473,21026928640.0
8,6.7326507568359375,12.996318817138672,21865336832.0
9,7.156007766723633,13.492436408996582,23478421504.0
10,7.493898391723633,13.909795761108398,24714151936.0
11,7.7835259437561035,14.291962623596191,25623760896.0
12,8.060297012329102,14.652605056762695,26389567488.0
