horizon,mae,rmse,mape
1,2.4892964363098145,4.168430328369141,111651.0625
2,2.3170042037963867,3.9431674480438232,111664.625
3,2.3426766395568848,4.117306709289551,111696.6171875
4,2.4152984619140625,4.380777835845947,112075.78125
5,2.5013234615325928,4.6332573890686035,112231.9375
6,2.597438335418701,4.874388217926025,112175.34375
7,2.6952030658721924,5.096733093261719,112177.296875
8,2.7902584075927734,5.301512241363525,112146.5703125
9,2.880300760269165,5.489132404327393,112305.8203125
10,2.9652984142303467,5.663521766662598,112347.2265625
11,3.047131061553955,5.829519271850586,112421.3125
12,3.1310393810272217,5.9952569007873535,112386.0625
