node,mae,rmse,mape
0,2.4520111083984375,4.447269439697266,177771.34375
1,2.2259888648986816,5.558357238769531,6.950586318969727
2,3.3955752849578857,6.872944355010986,11.470579147338867
3,2.6355366706848145,5.024813652038574,169767.609375
4,3.3556647300720215,5.924699783325195,7.065895080566406
5,2.2600128650665283,5.18430233001709,166888.8125
6,3.548658609390259,7.139893531799316,167159.4375
7,1.8018455505371094,4.099369525909424,171084.6875
8,2.501005172729492,4.92793083190918,168467.6875
9,3.08451771736145,6.132292747497559,13.283491134643555
10,3.819063901901245,7.508345603942871,16.4044132232666
11,2.6353867053985596,5.589086532592773,7.934703826904297
12,1.4757272005081177,2.5327041149139404,3.051579236984253
13,2.5643932819366455,4.249986171722412,171398.953125
14,1.7863953113555908,3.351759433746338,166541.421875
15,1.9678584337234497,4.4919843673706055,5.090686321258545
16,1.2501509189605713,1.9870209693908691,169147.25
17,3.1052489280700684,6.214582443237305,9.377903938293457
18,2.0864944458007812,3.7162163257598877,3.5244410037994385
19,4.232000827789307,7.309110164642334,171606.328125
20,2.3131368160247803,4.384593963623047,163777.078125
21,2.6413800716400146,5.067093372344971,6.309926509857178
22,1.4441006183624268,2.583538293838501,2.3735673427581787
23,3.010526180267334,5.327965259552002,166118.125
24,2.005979299545288,3.263223648071289,3.0045700073242188
25,2.208793878555298,4.595736980438232,174262.03125
26,2.6523096561431885,4.838225841522217,171748.78125
27,1.1275876760482788,1.8762857913970947,172300.078125
28,3.731289863586426,6.76157808303833,161976.09375
29,3.5838091373443604,5.027637481689453,7.178598403930664
30,1.2008625268936157,1.8343565464019775,168651.0
31,2.4798507690429688,4.603680610656738,5.5168070793151855
32,2.777531623840332,6.973699569702148,172587.96875
33,1.848504900932312,3.7857730388641357,3.556002378463745
34,1.904299259185791,3.9890499114990234,169605.15625
35,2.3311173915863037,4.181197643280029,4.5235114097595215
36,2.750760316848755,4.680145263671875,177529.578125
37,2.864612102508545,6.218452453613281,171732.0625
38,3.0503556728363037,5.404837131500244,161874.96875
39,1.129503846168518,1.5958333015441895,1.7828922271728516
40,2.4979934692382812,4.633523941040039,168391.9375
41,2.162545680999756,4.810095310211182,164894.890625
42,5.018709659576416,7.991794586181641,166516.625
43,2.81766676902771,5.173584461212158,164810.625
44,1.761995792388916,3.987264633178711,168291.890625
45,3.5834383964538574,7.114312648773193,153883.875
46,2.9348554611206055,5.991862773895264,167698.203125
47,1.9431816339492798,3.428856372833252,167101.453125
48,2.4140844345092773,5.098194122314453,167504.625
49,2.461402416229248,4.157678127288818,4.977100849151611
50,1.3266078233718872,2.4503378868103027,162347.84375
51,2.4188015460968018,4.499599456787109,5.183193683624268
52,3.524725914001465,5.114703178405762,6.529673099517822
53,2.4366202354431152,4.174203872680664,162131.421875
54,2.3848378658294678,4.5117926597595215,5.888492584228516
55,3.2563979625701904,6.139345645904541,14.311838150024414
56,4.426458835601807,6.962632179260254,173326.09375
57,3.3886852264404297,6.35972261428833,8.101033210754395
58,1.8860117197036743,4.3344645500183105,168769.53125
59,5.6583027839660645,9.270340919494629,166490.09375
60,2.271378755569458,4.913167953491211,168913.25
61,3.6690356731414795,6.908905982971191,9.18628978729248
62,1.3894407749176025,2.645282030105591,169767.6875
63,2.2652816772460938,3.8363327980041504,3.846768379211426
64,1.8890272378921509,2.991745710372925,3.327829360961914
65,4.583456516265869,6.022945404052734,162004.1875
66,2.5198745727539062,5.501430034637451,154326.140625
67,2.1552162170410156,4.822937965393066,6.462840557098389
68,3.240664005279541,6.75934362411499,172412.1875
69,2.591771125793457,4.387301921844482,5.469059467315674
70,1.3577866554260254,2.860513210296631,168998.8125
71,3.243922710418701,4.680135250091553,5.86428689956665
72,2.677532196044922,4.8299880027771,162987.125
73,2.4490244388580322,4.420052528381348,169356.8125
74,2.759438991546631,4.367957592010498,158075.046875
75,2.208054780960083,5.086581230163574,162657.28125
76,2.5644264221191406,4.046319007873535,4.155083656311035
77,1.8365931510925293,4.071653842926025,4.7876200675964355
78,2.2781147956848145,4.93352746963501,171745.71875
79,2.5961647033691406,5.735090255737305,173136.21875
80,5.0191240310668945,7.929698944091797,166750.890625
81,2.283289909362793,5.822036266326904,7.17303991317749
82,2.7055089473724365,5.1329474449157715,170905.984375
83,2.561389446258545,4.040711879730225,157921.921875
84,3.2607297897338867,6.615400314331055,11.021858215332031
85,2.3572041988372803,4.331999778747559,4.799185752868652
86,1.1822049617767334,1.863143801689148,163031.53125
87,5.086947917938232,8.388449668884277,165344.046875
88,3.17804217338562,6.431336402893066,157328.1875
89,2.836538314819336,6.567914009094238,168987.921875
90,3.4044957160949707,6.38536262512207,10.617907524108887
91,2.2350637912750244,4.459596633911133,170033.765625
92,1.1684972047805786,2.577355146408081,1.9786245822906494
93,3.921830654144287,7.707233905792236,167901.59375
94,2.6687815189361572,6.0211405754089355,8.307390213012695
95,1.267778992652893,2.27803635597229,168838.453125
96,2.803076982498169,5.419137954711914,7.3633646965026855
97,2.428191900253296,5.157105445861816,172721.828125
98,2.972188949584961,4.802206039428711,6.227322578430176
99,3.557760238647461,5.14433479309082,169265.140625
100,2.1621973514556885,3.379624843597412,3.5222601890563965
101,1.9042445421218872,3.7058210372924805,165857.4375
102,2.4142470359802246,4.185854434967041,174356.921875
103,2.2482151985168457,4.515141010284424,5.04887580871582
104,2.6728265285491943,5.288684368133545,161092.359375
105,1.9710596799850464,4.05194091796875,4.982329368591309
106,2.585505485534668,5.344563961029053,168180.8125
107,2.573615312576294,4.642146110534668,5.782479286193848
108,2.796293020248413,5.960909843444824,8.677266120910645
109,3.699510335922241,6.679982662200928,176213.921875
110,1.8133137226104736,3.4795432090759277,3.227870464324951
111,2.9645423889160156,5.298791885375977,4.650373935699463
112,3.186824083328247,5.119800090789795,7.08528995513916
113,2.7970573902130127,5.949365139007568,165099.3125
114,2.7341315746307373,5.898414134979248,10.326811790466309
115,3.3981945514678955,6.218635082244873,158719.75
116,4.124034881591797,6.087055206298828,162958.78125
117,0.9845121502876282,1.7182044982910156,168252.546875
118,2.745023012161255,5.516661167144775,168108.71875
119,1.853563904762268,4.634588241577148,168662.84375
120,2.54109525680542,4.219969749450684,4.941407203674316
121,3.777153730392456,7.039341926574707,167230.671875
122,2.5093834400177,4.582605838775635,5.346080780029297
123,1.6248027086257935,4.048089504241943,4.01969051361084
124,1.9251657724380493,3.8756163120269775,3.6575236320495605
125,1.5498273372650146,2.7039692401885986,171600.546875
126,3.6421124935150146,4.9919586181640625,172803.921875
127,2.8850080966949463,6.137155532836914,8.908991813659668
128,2.43684720993042,5.234123706817627,168330.234375
129,2.0371527671813965,4.18181848526001,4.7294745445251465
130,1.8100004196166992,3.395486831665039,3.2990243434906006
131,1.6470588445663452,3.214242458343506,3.2299251556396484
132,4.3051042556762695,6.457924842834473,9.18471622467041
