horizon,mae,rmse,mape
1,1.0123555660247803,1.843430995941162,111825.4765625
2,1.331965684890747,2.588719367980957,111715.4140625
3,1.5810192823410034,3.1937148571014404,112238.125
4,1.806038737297058,3.707566022872925,112708.0546875
5,2.0230438709259033,4.150873184204102,113065.890625
6,2.23511004447937,4.544213771820068,113180.5078125
7,2.443344831466675,4.903176307678223,113387.2421875
8,2.648691177368164,5.236176013946533,113586.4765625
9,2.850450277328491,5.5505242347717285,113948.328125
10,3.048966646194458,5.851359844207764,114215.6953125
11,3.244978189468384,6.142906188964844,114486.1484375
12,3.440338373184204,6.430594444274902,114642.984375
