node,mae,rmse,mape
0,2.1331868171691895,4.376176357269287,177627.578125
1,2.083190679550171,4.682824611663818,5.382318019866943
2,3.478905200958252,6.845348358154297,10.319089889526367
3,2.283099412918091,4.686457633972168,171516.734375
4,3.131035327911377,5.792027473449707,6.495140552520752
5,2.37453031539917,6.158595085144043,169225.90625
6,3.4281349182128906,6.918787002563477,169380.109375
7,2.00827956199646,4.117970943450928,172423.0625
8,2.426391363143921,4.59158182144165,170649.921875
9,2.6275458335876465,5.720945358276367,9.58892822265625
10,4.189630031585693,8.0191011428833,16.95169448852539
11,2.287597179412842,5.082604885101318,6.415584564208984
12,1.7579723596572876,3.2200698852539062,3.399092674255371
13,2.5027809143066406,4.3180365562438965,172784.4375
14,1.611900806427002,3.104966640472412,170331.421875
15,2.0377042293548584,4.621582984924316,4.786921501159668
16,1.2111598253250122,2.0426242351531982,171302.53125
17,2.9699180126190186,6.138551712036133,8.23071002960205
18,1.1669161319732666,2.386432409286499,1.9642131328582764
19,3.8092753887176514,6.807092666625977,173853.3125
20,2.2339677810668945,4.297057628631592,164935.0625
21,2.7295570373535156,5.672556400299072,6.276162624359131
22,1.606727123260498,2.9275591373443604,2.6053340435028076
23,2.9298434257507324,5.371247291564941,167181.171875
24,1.1703121662139893,2.003507375717163,1.7637802362442017
25,2.1241862773895264,4.7099409103393555,173411.921875
26,2.8863062858581543,5.409295082092285,172547.84375
27,1.1480014324188232,2.081164836883545,173914.875
28,2.3086276054382324,5.43317174911499,168317.921875
29,2.798896074295044,4.7011237144470215,5.603549003601074
30,1.3566477298736572,2.192168712615967,169855.90625
31,2.0766172409057617,3.9757986068725586,4.703007221221924
32,2.7125630378723145,7.280180931091309,174707.84375
33,1.7286999225616455,3.499767303466797,3.217925786972046
34,2.2138729095458984,4.5767130851745605,170990.703125
35,2.597825527191162,4.692645072937012,4.923623085021973
36,2.4927802085876465,5.123373031616211,177633.515625
37,1.804150938987732,3.610429286956787,172486.71875
38,2.8733255863189697,5.456137180328369,162163.921875
39,1.6353005170822144,2.466456174850464,2.5866496562957764
40,2.2025187015533447,4.6814398765563965,171456.453125
41,2.23274827003479,4.61402702331543,165847.9375
42,2.213778018951416,4.0380096435546875,164540.171875
43,3.3417129516601562,5.931713581085205,167587.984375
44,1.8987153768539429,4.558326721191406,170411.390625
45,3.608149766921997,6.972497463226318,153366.28125
46,3.1328582763671875,6.282835006713867,169925.65625
47,1.5797628164291382,3.573211193084717,174349.484375
48,2.2928965091705322,4.830348014831543,171673.140625
49,2.1144282817840576,3.6190717220306396,4.103405952453613
50,1.6396558284759521,2.9319560527801514,164408.109375
51,1.9589910507202148,4.114874839782715,3.9617974758148193
52,2.0914697647094727,4.965577602386475,4.579050064086914
53,2.35530686378479,4.001070499420166,163947.296875
54,2.2005538940429688,4.17422342300415,4.800075054168701
55,2.790245294570923,6.048378944396973,11.34305477142334
56,2.3320133686065674,5.752049446105957,178861.71875
57,2.936892509460449,7.111234664916992,6.818671703338623
58,2.182353973388672,4.782626152038574,170505.78125
59,2.7106146812438965,6.31428861618042,171048.75
60,2.253791570663452,4.896204948425293,170588.703125
61,3.0001113414764404,6.177082061767578,6.8035783767700195
62,1.4100847244262695,2.901787757873535,171925.359375
63,2.239809274673462,3.677670478820801,3.7623841762542725
64,2.0664114952087402,3.378204584121704,3.6170289516448975
65,2.088319778442383,3.9646685123443604,172535.921875
66,3.072599411010742,6.553431987762451,156961.765625
67,2.534456253051758,5.358460903167725,6.744825839996338
68,3.2918899059295654,6.8896307945251465,173033.25
69,2.1300058364868164,4.3690643310546875,4.420123100280762
70,1.6863977909088135,3.5514087677001953,170697.09375
71,2.7181332111358643,4.56660270690918,5.04921293258667
72,2.613154888153076,4.711305141448975,164634.34375
73,2.580491542816162,4.504621505737305,170023.375
74,2.305403470993042,3.868739366531372,157224.953125
75,2.0681393146514893,4.814573764801025,163612.25
76,1.9152873754501343,3.4375734329223633,3.1797738075256348
77,2.039809465408325,4.0559563636779785,4.516233921051025
78,1.345504641532898,2.8443682193756104,172071.40625
79,2.5012617111206055,6.068416118621826,175100.25
80,4.011429309844971,6.877512454986572,168017.140625
81,2.1280710697174072,5.626189231872559,5.8281354904174805
82,2.87135910987854,5.859593868255615,173980.484375
83,1.9221915006637573,3.5003840923309326,164479.453125
84,2.873880624771118,6.5143961906433105,8.613341331481934
85,1.8194440603256226,3.7549948692321777,3.695094108581543
86,1.640303373336792,2.6355526447296143,164283.9375
87,3.0841941833496094,6.998505115509033,170830.1875
88,3.47094988822937,6.768359661102295,159093.390625
89,2.484283208847046,6.495884895324707,171141.328125
90,3.3103525638580322,7.10662841796875,9.271833419799805
91,2.1064815521240234,4.391306400299072,168480.9375
92,1.225069284439087,2.5689477920532227,2.055264711380005
93,3.1736903190612793,7.176840305328369,171128.828125
94,2.9169182777404785,6.632659912109375,8.351126670837402
95,1.6845775842666626,3.1693296432495117,171265.5
96,2.1356756687164307,4.448705196380615,5.411343574523926
97,2.352297306060791,4.817990303039551,173596.90625
98,2.5203890800476074,4.671178817749023,5.312435150146484
99,2.5045807361602783,5.226154804229736,176300.34375
100,2.58494234085083,4.233195781707764,4.220889091491699
101,1.895443320274353,3.556485652923584,166278.546875
102,2.3131933212280273,4.198038101196289,175571.875
103,1.9967741966247559,4.417943954467773,4.125289440155029
104,3.220228433609009,6.134573936462402,162915.59375
105,2.058837890625,4.925853729248047,4.914066314697266
106,2.2879490852355957,5.181336402893066,170520.125
107,2.0840115547180176,4.748985290527344,4.75400447845459
108,2.2077419757843018,5.232539176940918,6.058250427246094
109,2.788893222808838,6.662431240081787,178971.078125
110,1.810195803642273,3.887678623199463,3.2256112098693848
111,1.133082389831543,2.013012647628784,1.784400463104248
112,2.350757122039795,5.3309102058410645,5.20295524597168
113,2.3049213886260986,5.15874719619751,170086.453125
114,2.063741445541382,4.849298477172852,5.661065101623535
115,4.005392074584961,6.930424690246582,161203.1875
116,2.1351990699768066,3.710373878479004,160000.609375
117,0.8081876039505005,1.2507785558700562,171289.640625
118,2.660247802734375,5.87105655670166,172338.984375
119,1.9197360277175903,4.7923359870910645,170099.140625
120,2.207726240158081,3.6371307373046875,4.137040138244629
121,2.9824423789978027,5.983119010925293,172219.953125
122,2.081536054611206,4.800329685211182,4.414779186248779
123,1.8086150884628296,3.842609405517578,3.777008533477783
124,1.907212495803833,4.148789882659912,3.709482431411743
125,1.783648133277893,3.2659664154052734,172326.734375
126,2.1441779136657715,3.8704428672790527,167415.4375
127,2.2024991512298584,5.1862311363220215,6.102159023284912
128,2.5827224254608154,5.667839050292969,170529.625
129,2.0405657291412354,4.468101978302002,4.325253009796143
130,2.1126983165740967,3.9939613342285156,3.7631306648254395
131,2.06550931930542,3.99474835395813,4.032929420471191
132,3.3714754581451416,5.424461841583252,6.717817306518555
133,5.130471229553223,7.174774169921875,139730.046875
134,5.962423801422119,8.277327537536621,170486.90625
135,3.311081647872925,6.156458854675293,170583.453125
136,2.281041145324707,4.004064083099365,177180.71875
137,2.2650327682495117,4.916194915771484,4.350776672363281
138,3.137876272201538,5.653152942657471,7.277554988861084
139,1.9636750221252441,4.563862323760986,168817.65625
140,1.607658863067627,2.8930068016052246,169203.75
141,2.222295045852661,5.5588836669921875,178084.640625
142,2.706716537475586,7.3824052810668945,177024.078125
143,1.5968657732009888,3.245245933532715,2.745645761489868
144,1.9239083528518677,3.8519225120544434,4.363673210144043
145,1.97049880027771,4.043452739715576,4.13534688949585
146,6.0241804122924805,8.420461654663086,169438.234375
147,1.8658490180969238,3.9379870891571045,167281.8125
148,0.7487589120864868,0.9485010504722595,1.1258797645568848
149,2.9380180835723877,5.781183242797852,164583.078125
150,3.1257264614105225,6.948625087738037,10.905362129211426
151,2.369692087173462,4.378135681152344,4.42177152633667
152,3.1024012565612793,4.569770336151123,152423.328125
153,1.861518144607544,3.8492352962493896,172702.390625
154,1.8480473756790161,4.216882705688477,172799.9375
155,1.6582344770431519,3.188523530960083,166878.3125
156,1.797287940979004,3.968165874481201,3.021712064743042
157,2.3620216846466064,4.93319034576416,4.584531307220459
158,2.7004783153533936,4.4616498947143555,169900.890625
159,2.427741289138794,4.906351089477539,4.959733963012695
160,2.3824288845062256,3.9479384422302246,4.103237152099609
161,2.3622045516967773,5.120770454406738,162749.390625
162,2.8161215782165527,5.368788719177246,157400.921875
163,2.3297762870788574,4.006683826446533,170063.640625
164,1.5162287950515747,2.6642370223999023,172273.96875
165,3.1991093158721924,6.433365821838379,7.020902633666992
166,3.0515003204345703,6.335463047027588,163133.953125
167,1.843226432800293,3.0294740200042725,162575.796875
168,2.428295850753784,4.427668571472168,173906.765625
169,2.3497936725616455,4.169447422027588,5.555881023406982
170,1.701675534248352,2.8379623889923096,172159.296875
171,1.8293665647506714,3.503484010696411,163556.5
172,1.910339117050171,4.527748107910156,174394.953125
173,1.8008615970611572,4.496142864227295,173816.6875
174,4.076210021972656,6.897897243499756,8.095120429992676
175,2.0305047035217285,4.1132965087890625,3.6156516075134277
