horizon,mae,rmse,mape
1,1.0660933256149292,1.9605412483215332,111413.0859375
2,1.415149450302124,2.7433359622955322,111342.0078125
3,1.6884428262710571,3.3765575885772705,111526.65625
4,1.907429814338684,3.894681453704834,111690.4765625
5,2.0971086025238037,4.329164028167725,111818.703125
6,2.2729952335357666,4.704679012298584,111697.140625
7,2.4369733333587646,5.038298606872559,111612.4296875
8,2.595050573348999,5.338695526123047,111517.75
9,2.739800214767456,5.610659599304199,111634.390625
10,2.8770337104797363,5.861130714416504,111634.1796875
11,3.0018393993377686,6.09484338760376,111684.8125
12,3.1320226192474365,6.3162841796875,111686.953125
