horizon,mae,rmse,mape
1,1.055518388748169,1.8648654222488403,111424.2578125
2,1.3064095973968506,2.450002908706665,111387.8515625
3,1.5182253122329712,2.986530065536499,111708.9140625
4,1.698032259941101,3.433641195297241,111889.96875
5,1.85123872756958,3.796729803085327,111985.8046875
6,1.982992172241211,4.098161220550537,111921.1328125
7,2.1036946773529053,4.3534626960754395,111920.359375
8,2.2117760181427,4.575009346008301,111974.4765625
9,2.308183431625366,4.770325183868408,111980.875
10,2.3998255729675293,4.945427894592285,112036.109375
11,2.4892075061798096,5.105215072631836,112050.296875
12,2.577294111251831,5.256838798522949,111959.8125
