horizon,mae,rmse,mape
1,4.8987603187561035,8.724539756774902,7149182976.0
2,5.125887870788574,9.081086158752441,11755209728.0
3,5.3040242195129395,9.776835441589355,12211092480.0
4,5.698943614959717,10.571951866149902,14241134592.0
5,6.104833602905273,11.326993942260742,16037632000.0
6,6.523947238922119,12.0091552734375,17825310720.0
7,6.9231719970703125,12.603137969970703,19380062208.0
8,7.310157299041748,13.137399673461914,20800874496.0
9,7.679441928863525,13.624847412109375,22108241920.0
10,8.019362449645996,14.048279762268066,23269931008.0
11,8.342191696166992,14.443395614624023,24357316608.0
12,8.654092788696289,14.824201583862305,25411776512.0
