horizon,mae,rmse,mape
1,3.75382924079895,7.204008102416992,7557381632.0
2,4.3351287841796875,8.671768188476562,12074275840.0
3,5.014952182769775,9.764067649841309,15184697344.0
4,5.3966240882873535,10.61650276184082,16288233472.0
5,5.822164535522461,11.407559394836426,17891874816.0
6,6.322817802429199,12.10506820678711,20053260288.0
7,6.739629745483398,12.679327964782715,21460011008.0
8,7.102243423461914,13.187520980834961,22595418112.0
9,7.5395989418029785,13.686490058898926,25039572992.0
10,7.825703144073486,14.067855834960938,25694574592.0
11,7.990800380706787,14.401447296142578,24721516544.0
12,8.315479278564453,14.754266738891602,25053009920.0
